,Company,Notional Recovery Rate,Recovery rate,Running Spread,Sprd at Maturity,6 Mo,1 Yr,2 Yr,3 Yr,4 Yr,5 Yr,7 Yr,10 Yr
1,Advanced Micro D,2000000,0.4,500,36.4,15.42,18.44,22.87,28.62,32.91,36.4,62.36,79.54
2,Ally Financial Inc,2000000,0.4,500,147.35,44.63,58.23,83.18,101.84,123.53,147.35,193.07,224.75
3,Altria Group Inc,2000000,0.4,100,39.4,11.48,15.49,20.33,27.2,33.22,39.4,60.8,76.15
4,Amazon.com Inc,2000000,0.25,100,29.3,14.9,16.78,20.57,24.04,26.92,29.3,44.92,58.01
5,American Electri,2000000,0.4,100,32.88,10.21,13.34,17.17,22.98,28.92,32.88,47.67,62.58
6,American Expres,2000000,0.4,100,32.47,12.77,15.12,19.68,24.99,28.93,32.47,50.05,63.61
7,American Interna,2000000,0.4,100,60.44,22.37,25.76,33.69,43.75,51.25,60.44,85.78,103.29
8,Amgen Inc,2000000,0.4,100,38.58,12.57,14.35,21.55,28.31,33.87,38.58,56.49,72.82
9,APA Corp,2000000,0.4,100,124.25,41.1,47.95,63.22,83.98,107.53,124.25,156.84,181.58
10,Arrow Electronic,2000000,0.4,100,71.11,20.81,26.05,36.66,48.89,60.31,71.11,100.7,120.23
11,AT&T Inc,2000000,0.4,100,61.48,27.15,34.05,40.78,47.59,54.95,61.48,83.46,101.92
12,AutoZone Inc,2000000,0.4,100,37.21,11.08,17.05,24.31,27.53,31.54,37.21,51.24,66.46
13,Avnet Inc,2000000,0.4,100,80.3,23.34,27.61,40.37,55.63,68.67,80.3,117.97,142.36
14,Barrick Mining C,2000000,0.4,100,35.06,9.92,12.54,16.92,22.31,28.18,35.06,52.67,70.24
15,Baxter Internatio,2000000,0.4,100,69.57,17.25,23.64,33.45,41.65,57.16,69.57,95.33,111.66
16,Best Buy Co Inc,2000000,0.4,500,60.65,16.94,22.65,31.71,39.55,49.91,60.65,84.8,107.07
17,Block Financial L,2000000,0.4,500,60.54,23.67,27.72,35.52,46.09,54.08,60.54,100.12,130.24
18,BorgWarner Inc,2000000,0.4,100,57.31,20.4,25.33,33.33,40.71,49.11,57.31,84.37,106.48
19,Boston Scientific,2000000,0.4,100,31.28,10.27,14.18,18.18,19.63,27.53,31.28,47.36,60
20,Bristol-Myers Sq,2000000,0.4,100,35.61,13.97,15.22,18.96,25.77,28.77,35.61,50.84,63.47
21,Broadcom Inc,2000000,0.4,100,37.36,14.14,15.85,20.36,26.23,32.34,37.36,58.66,68.36
22,Canadian Natura,2000000,0.4,100,71.79,22.64,30,40.31,51.63,62.07,71.79,100.44,133.17
23,Capital One Finan,2000000,0.4,100,80.31,31.3,37.42,48.59,60.3,70.66,80.31,105.4,129.08
24,Cardinal Health I,2000000,0.4,100,37.47,12.02,14.57,21.04,27.01,31.53,37.47,54.98,72.36
25,Caterpillar Inc,2000000,0.4,100,30.14,8.88,13.13,16.17,22.12,26.42,30.14,45,59.95
26,Cisco Systems In,2000000,0.4,100,32.19,11.01,13.49,17.96,22.95,27.06,32.19,41.91,52.78
27,Comcast Corp,2000000,0.4,100,52.6,16.09,21.64,27.44,37.76,46.3,52.6,70.74,91.76
28,Conagra Brands ,2000000,0.4,100,75.99,22.03,24.04,32.15,46.12,61.25,75.99,100.95,119.81
29,ConocoPhillips,2000000,0.4,100,42.72,15.06,18.54,24.18,30.98,37.26,42.72,61.25,76.47
30,Cox Communicat,2000000,0.4,100,50.54,14.1,19.04,26.22,34.62,42.61,50.54,70.34,94
31,CSX Corp,2000000,0.4,100,22.53,9.97,11,12.72,17.31,18.97,22.53,36.47,49.54
32,CVS Health Corp,2000000,0.4,100,57.35,17.41,20.52,30.18,40.09,47.9,57.35,80.65,100.87
33,DR Horton Inc,2000000,0.4,100,56.55,21.05,25.11,33.99,41.3,48.92,56.55,78.89,97.04
34,Danaher Corp,2000000,0.4,100,29.64,8.42,11.61,15.1,20.92,25.06,29.64,48.64,65.1
35,Darden Restaura,2000000,0.4,100,50,16.57,20.12,27.57,34.53,41.81,50,68.67,88.67
36,Deere & Co,2000000,0.4,100,34.3,12.71,14.76,19.22,24.01,30.17,34.3,51.64,70.67
37,Dell Inc,2000000,0.4,100,58.91,14.01,18.84,26.23,38.08,48.63,58.91,90.32,112.52
38,Delta Air Lines I,2000000,0.4,500,105.74,40.94,48.17,58.27,74.74,91.9,105.74,141.72,164.1
39,Devon Energy Co,2000000,0.4,100,103.35,32.62,37.31,53.05,70.21,86.02,103.35,132.25,158.7
40,Dominion Energy,2000000,0.4,100,39.07,9.34,15.41,22.48,28.03,33.85,39.07,59.72,74.48
41,DXC Technology ,2000000,0.4,500,153.49,30.55,40.85,61.72,84.32,116.1,153.49,209.08,243.15
42,Eastman Chemica,2000000,0.4,100,97.81,24.65,28.87,44.78,63.08,80.96,97.81,128.48,148.03
