Company,Recovery,S_1Y,S_2Y,S_3Y,S_5Y,S_7Y,S_10Y
Advanced Micro D,0.4,0.9976981688916662,0.9934516547566684,0.9866942387720055,0.966276473306204,0.928321253501082,0.8747664936212461
Honeywell Intern,0.4,0.9985807643447516,0.996081040909726,0.9922445271959096,0.9800795734821486,0.9585396298018708,0.9186077799527176
Barrick Mining C,0.4,0.9985127044841096,0.9953497201801074,0.9899844801825275,0.9700264039882225,0.9392734855985997,0.8807889361119549
American Electri,0.4,0.9985044419168061,0.9954064871908691,0.990354693196204,0.9746821490237423,0.948260713572652,0.8988316960472624
American Expres,0.4,0.9982109976903105,0.9951533919711743,0.9903614251479717,0.9754926637668199,0.9513708240316707,0.9097639427343402
American Interna,0.4,0.9969048144992863,0.9910756798018384,0.9814986636378068,0.952981063834455,0.9066484543886087,0.8362920347380453
Arrow Electronic,0.4,0.9970283170911293,0.9901964968233821,0.9779190151511343,0.9363903665009873,0.8882049394906621,0.8087291471666473
AutoZone Inc,0.4,0.9979235633027379,0.9941369922072799,0.9890942334643634,0.9715472330264725,0.9450399532377607,0.8921499142421354
Avnet Inc,0.4,0.9968934737349613,0.989205461108904,0.9751385203817898,0.9288695934100695,0.871026880028981,0.7788516388392135
Baxter Internatio,0.4,0.9968902928856873,0.9900230787249601,0.97891895528271,0.934575695907154,0.884848037970041,0.8099525903869489
Verizon Commun,0.4,0.9962872796564908,0.990270120454688,0.9808197305430087,0.9541966168268069,0.9157081786814325,0.8427459107690164
Best Buy Co Inc,0.4,0.9971649469393058,0.9909432973399543,0.9821555476848082,0.9482754035422173,0.9038090149924559,0.8221283569880433
Boeing Co/The,0.4,0.9961235644673466,0.9893364516003577,0.9789461141789075,0.9477824342100236,0.9093464406755954,0.8457150890982268
Boston Scientific,0.4,0.9984945171006776,0.9953583247067542,0.9912599397521558,0.9748276987667143,0.9464423243913954,0.8998975965010185
Bristol-Myers Sq,0.4,0.9982478600060697,0.9947520417464518,0.9897101684712524,0.971682578978495,0.9443643807080737,0.8943520674620928
Campbell's Comp,0.4,0.9974655787084883,0.9928535203592266,0.9843942872695655,0.9555585248003852,0.9140958634178825,0.8474454146535203
Caterpillar Inc,0.4,0.9985940952120177,0.9961303275768707,0.991148122271124,0.97798334502582,0.9530625151217867,0.9064347390514947
Conagra Brands ,0.4,0.9968012480853272,0.9904647497615722,0.9787039722066363,0.9347873816364091,0.8836691249736582,0.8029971249309172
CSX Corp,0.4,0.9985906093735577,0.9964384307992438,0.9923591228693623,0.9821632488542168,0.9608407584293133,0.9214034577993677
Danaher Corp,0.4,0.9986883937371525,0.9961791820894864,0.991449803017886,0.9766885964213952,0.9461670136289685,0.8940473072179066
Target Corp,0.4,0.9976370814647707,0.9923894350307348,0.9845903046300348,0.9602906945760612,0.9294972322735753,0.8759205222045752
Deere & Co,0.4,0.9983468382523617,0.9950787929995883,0.9899515249134377,0.973337123660745,0.9455537148377172,0.8897478244459401
Dominion Energy,0.4,0.9981388284328386,0.994038154966065,0.9880483507653584,0.9688147337737113,0.9367223791703572,0.8856789690571034
Dow Chemical Co,0.4,0.9964657351005081,0.9882238402246105,0.973526116517384,0.9224012529112513,0.8602775446300398,0.7653752324386318
FedEx Corp,0.4,0.997304754182047,0.9922249018089185,0.9830693732127999,0.9570750320968242,0.9166106565677639,0.8487397854791199
Ford Motor Co,0.4,0.9904765808257799,0.9733807750082544,0.948682621351952,0.8765572048163517,0.7933966771804427,0.6721641053833936
Freeport-McMoRa,0.4,0.9975079546834755,0.9911411045336569,0.9788895259881875,0.9392682725386036,0.8850324766306771,0.79816906456127
General Electric ,0.4,0.998638235520802,0.9963229281908054,0.9923652729293067,0.9755806878193363,0.9416756754818079,0.8816009936587723
General Mills Inc,0.4,0.997887746664088,0.9938922040217086,0.986217035019396,0.9614552189810944,0.9293456687834999,0.870200066384197
Halliburton Co,0.4,0.9970942217225153,0.9912815231087524,0.9827983934569613,0.9517380085815023,0.909747789850427,0.8402224400996983
Kraft Heinz Food,0.4,0.9977685692930852,0.9925082215696283,0.984398819633086,0.957653547747135,0.9113278122214197,0.8379275319113317
HP Inc,0.4,0.9974437952620351,0.9910919308686861,0.9789193877081437,0.9403169929326011,0.8943555277538149,0.8035206024163631
Home Depot Inc/,0.4,0.9983736975096874,0.9951492707417143,0.9905890481140284,0.9758573560091475,0.9523522179589826,0.9048821358935347
International Bu,0.4,0.99803186333504,0.9940839262660468,0.9867048195142676,0.9633519043783869,0.9329309981908563,0.879790933061298
International Pa,0.4,0.9975984861688383,0.9917935498091839,0.9817805269195177,0.9460591394056815,0.9023853316994994,0.8430885318771987
Johnson & Johns,0.4,0.9984032803208288,0.9960058318310814,0.9928308866744039,0.9818883151840666,0.9596508764082357,0.9109676373944722
Kroger Co/The,0.4,0.9981039563047377,0.9943839376640959,0.9886956661498442,0.9674581955588828,0.9346846097676688,0.8806643214613442
Lennar Corp,0.4,0.9955559797042571,0.9870439442649803,0.9729609993451891,0.9343155517296783,0.8715062355335935,0.783584696617318
Lincoln National ,0.4,0.9939807779340987,0.9824294671045523,0.9648288759087178,0.9081373121473839,0.8384623804861213,0.7351484053802956
Lowe's Cos Inc,0.4,0.9981186879018632,0.994492616555488,0.9878713565029446,0.9693224709781413,0.940051378120905,0.883161326848068
McDonald's Corp,0.4,0.9984265410594304,0.9955520771440262,0.9912099092665135,0.9781965968360637,0.9586479983726564,0.9190359391090668
Sekisui House US,0.4,0.9962291669137133,0.989358387685739,0.9781628936068122,0.9468779849012511,0.8919901513815444,0.7886210607527165
CVS Health Corp,0.4,0.9977274759576068,0.9925471810808516,0.9840824523000606,0.9580321787345679,0.9150800886277295,0.8433378371462034
Motorola Solution,0.4,0.9979882918004866,0.9942976577026139,0.9875431981678708,0.9661152659200029,0.9358147654206501,0.8750854799563015
Newmont Corp,0.4,0.9982205760912549,0.9945765484886386,0.9889053043866806,0.9683803690411711,0.9367412907741219,0.8731897648625286
Norfolk Southern,0.4,0.9986230112925248,0.996116895045295,0.9921967248870491,0.9811846145580145,0.9601468726530039,0.9175032016253026
Northrop Grumm,0.4,0.998685118305319,0.9956318579922284,0.9914736020846528,0.9790992153409213,0.9565294563904818,0.914530733035634
Occidental Petro,0.4,0.994107800223559,0.983690554417166,0.9684072411716068,0.9270660526142493,0.870825407405447,0.7797002132295093
Omnicom Group ,0.4,0.9978149959124312,0.993424409495855,0.985464429676781,0.9600933213617857,0.9287752145579135,0.8676196247698563
Pfizer Inc,0.4,0.9983037042691969,0.9950497869729731,0.9897282075633113,0.9716575063002663,0.9368982264174821,0.8668284109044153
Exelon Corp,0.4,0.9984359102258726,0.9951913988291665,0.9898343337542252,0.9741934790403022,0.9480927996521988,0.897377643235492
Altria Group Inc,0.4,0.9980809668692274,0.9943137682545763,0.9876954968012931,0.9667234192305253,0.9310832190712515,0.8703793930745217
ConocoPhillips,0.4,0.9982270088621255,0.9948116867976005,0.9884331111166286,0.9674539692665874,0.9343033976078522,0.8773804876753946
PulteGroup Inc,0.4,0.9962558406838886,0.9883305243210768,0.9758464516859751,0.9402555869006585,0.8843221217383443,0.7950217095136367
