Tenor,Bid,Ask,Last,0-3,0-3 upfront,3-7,3-7 upfront,7-10,10-15,15-100,0-100
1Y,17.2,17.7,16.34,537.59,5.555922,56.02,0.517191,23.4,6.73,5.79,22.92
2Y,25.6,26.1,24.58,632.28,11.188453,97.57,0.930791,44.21,16.8,9.57,31.22
3Y,34.97,35.42,34.6906,722,17.715798,142.41,2.208271,68.73,29.95,14.26,40.25
5Y,55.55,55.87,54.8686,864.68,31.086765,232.14,6.954627,122.82,62.47,25.14,58.47
7Y,73.25,76.89,74.844,991.24,43.863432,329.37,14.4656,188.55,105.79,41.28,81.27
10Y,94.47,94.72,93.7609,"1,036.23",53.836136,392.65,22.756998,238.59,143.85,57.06,98.71
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
