Tenor,Detachment,Correlation
5.0,0.005,0.15299852765650762
5.0,0.01,0.17554023382981862
5.0,0.015,0.19783075307010933
5.0,0.02,0.2197039051705152
5.0,0.025,0.24099350992417168
5.0,0.03,0.2615333871242143
5.0,0.035,0.28115735656377855
5.0,0.04,0.29969923803599985
5.0,0.045,0.3169928513340138
5.0,0.05,0.3328720162509557
5.0,0.055,0.34717055257996116
5.0,0.06,0.3597222801141657
5.0,0.065,0.3703610186467047
5.0,0.07,0.3789205879707137
5.0,0.075,0.38555205194140757
5.0,0.08,0.3908764862875697
5.0,0.085,0.39543272861268863
5.0,0.09,0.39975961652025266
5.0,0.095,0.40439598761375023
5.0,0.1,0.4098806794966698
5.0,0.105,0.4161368516970663
5.0,0.11,0.4227269845661183
5.0,0.115,0.4296488969419989
5.0,0.12,0.4369004076628815
5.0,0.125,0.44447933556693947
5.0,0.13,0.4523834994923459
5.0,0.135,0.4606107182772743
5.0,0.14,0.4691588107598979
5.0,0.145,0.47802559577838993
5.0,0.15,0.4872088921709238
7.0,0.005,0.1431894679841151
7.0,0.01,0.16440263313505493
7.0,0.015,0.18507671037068937
7.0,0.02,0.20514984685005266
7.0,0.025,0.2245601897321788
7.0,0.03,0.2432458861761019
7.0,0.035,0.26114508334085607
7.0,0.04,0.2781959283854753
7.0,0.045,0.29433656846899375
7.0,0.05,0.3095051507504456
7.0,0.055,0.3236398223888647
7.0,0.06,0.3366787305432853
7.0,0.065,0.34856002237274153
7.0,0.07,0.3592218450362673
7.0,0.075,0.36901913731206276
7.0,0.08,0.37824280816809114
7.0,0.085,0.3867349600480314
7.0,0.09,0.3943376953955624
7.0,0.095,0.40089311665436317
7.0,0.1,0.4062433262681126
7.0,0.105,0.4109131537086138
7.0,0.11,0.41547678546139477
7.0,0.115,0.4198503594907221
7.0,0.12,0.42395001376086194
7.0,0.125,0.42769188623608106
7.0,0.13,0.43099211488064565
7.0,0.135,0.4337668376588221
7.0,0.14,0.435932192534877
7.0,0.145,0.4374043174730768
7.0,0.15,0.4380993504376878
10.0,0.005,0.0644646535249488
10.0,0.01,0.10693390096081618
10.0,0.015,0.14857864177297223
10.0,0.02,0.18918319875823875
10.0,0.025,0.22853189471343743
10.0,0.03,0.2664090524353901
10.0,0.035,0.3025989947209185
10.0,0.04,0.3368860443668444
10.0,0.045,0.36905452416998946
10.0,0.05,0.3988887569271755
10.0,0.055,0.4261730654352244
10.0,0.06,0.45069177249095776
10.0,0.065,0.4722292008911974
10.0,0.07,0.4905696734327651
10.0,0.075,0.5061451580805701
10.0,0.08,0.5198089007055617
10.0,0.085,0.5319771409636207
10.0,0.09,0.5430661185106282
10.0,0.095,0.5534920730024655
10.0,0.1,0.5636712440950135
10.0,0.105,0.5737571255938524
10.0,0.11,0.5836007237615887
10.0,0.115,0.5931645469396417
10.0,0.12,0.6024111034694314
10.0,0.125,0.6113029016923774
10.0,0.13,0.6198024499498997
10.0,0.135,0.6278722565834175
10.0,0.14,0.635474829934351
10.0,0.145,0.6425726783441198
10.0,0.15,0.6491283101541434
