,Company,Notional Recovery Rate,Recovery rate,Running Spread,Sprd at Maturity,6 Mo,1 Yr,2 Yr,3 Yr,4 Yr,5 Yr,7 Yr,10 Yr,Unnamed: 14,Unnamed: 15
1,Advanced Micro D,2000000,0.4,500,45.31,17.61,21.75,26.89,33.25,38.75,45.31,64.21,75.74,,
2,Honeywell Intern,2000000,0.4,100,28.01,10.3,12.51,16.42,20.6,23.65,28.01,41.95,55.17,,
3,Barrick Mining C,2000000,0.4,100,39.26,8.47,13.81,18.88,25.18,33.19,39.26,61.91,82.55,,
4,American Electri,2000000,0.4,100,33.56,9.87,13.04,18.08,23.47,28.94,33.56,49.56,65.2,,
5,American Expres,2000000,0.4,100,31.66,14.05,16.43,20.78,26.26,30.12,31.66,48.72,62.15,,
6,American Interna,2000000,0.4,100,62.04,22.6,25.82,34.9,44.76,52.81,62.04,88.77,106.97,,
7,Arrow Electronic,2000000,0.4,100,84.97,24.52,28.33,40.28,56.09,70.92,84.97,109.75,129.83,,
8,AutoZone Inc,2000000,0.4,100,38.77,12.39,19.8,24.68,27.81,32.83,38.77,53.31,69.72,,
9,Avnet Inc,2000000,0.4,100,95.25,25.47,25.96,43.17,61.6,79.13,95.25,127.04,151.79,,
10,Baxter Internatio,2000000,0.4,100,86.49,20.27,27.75,41.28,51.15,69.66,86.49,112.07,128.02,,
11,Verizon Commun,2000000,0.4,100,61.07,28.07,32.97,38.42,47.51,55.38,61.07,83.93,103.52,,
12,Best Buy Co Inc,2000000,0.4,500,70.83,18.81,26.21,37.4,43.75,58.08,70.83,96.8,123.39,,
13,Boeing Co/The,2000000,0.4,100,72.21,30.28,35.44,43.47,52.94,61.89,72.21,89.9,104.38,,
14,Boston Scientific,2000000,0.4,100,34.19,12.07,15.34,18.18,21.7,28.8,34.19,50.49,63.26,,
15,Bristol-Myers Sq,2000000,0.4,100,38.04,15.51,17.09,21.37,26.07,33.76,38.04,53.35,68.18,,
16,Campbell's Comp,2000000,0.4,100,59.72,16.34,22.96,28.74,38.65,48.77,59.72,86.99,106.88,,
17,Caterpillar Inc,2000000,0.4,100,28.92,9.25,13.56,16.27,22.07,26.16,28.92,44.45,59.5,,
18,Conagra Brands ,2000000,0.4,100,84.24,23.82,28.85,37.35,51.79,68.45,84.24,113.37,134.09,,
19,CSX Corp,2000000,0.4,100,24.04,11.92,12.76,14.86,18.75,20.96,24.04,36.43,48.42,,
20,Danaher Corp,2000000,0.4,100,30.06,8.63,11.79,14.68,20.63,25.18,30.06,49.02,65.05,,
21,Target Corp,2000000,0.4,100,54.24,13.87,20.27,31.53,39.49,45.65,54.24,68.77,82.05,,
22,Deere & Co,2000000,0.4,100,34.74,12.39,14.31,19.29,24.3,30.77,34.74,51.97,70.99, ,
23,Dominion Energy,2000000,0.4,100,41.42,9.75,15.61,23.75,29.12,35.29,41.42,60.51,74.05, ,
24,Dow Chemical Co,2000000,0.4,100,102.17,23.55,31.14,45.82,64.01,84.3,102.17,136.15,159.68, ,
25,FedEx Corp,2000000,0.4,100,57.38,20.97,24.84,31.21,41.89,50.04,57.38,81.7,101.23, ,
26,Ford Motor Co,2000000,0.4,500,173.68,70.33,85.23,107.98,129.38,149.04,173.68,212.95,235.89, ,
27,Freeport-McMoRa,2000000,0.4,100,80.13,17.49,21.41,34.68,51.57,67.69,80.13,108.41,130.46, ,
28,General Electric ,2000000,0.4,100,31.93,11.11,12.61,15.13,19.06,26.82,31.93,54.25,74.01, ,
29,General Mills Inc,2000000,0.4,100,52.41,15.61,20.56,25.83,35.65,42.45,52.41,69.58,86.38, ,
30,Halliburton Co,2000000,0.4,100,63.5,23.12,25.73,34.62,42.19,54.27,63.5,88.33,108.11, ,
31,Kraft Heinz Food,2000000,0.4,100,55.79,15.66,19.81,29.9,38.2,46.4,55.79,85.72,107.01, ,
32,HP Inc,2000000,0.4,100,78.82,18.04,23.18,36.01,52.28,66.77,78.82,103.54,132.03, ,
33,Home Depot Inc/,2000000,0.4,100,32.84,12.51,15.5,20.66,24.29,27.35,32.84,45.45,59.95, ,
34,International Bu,2000000,0.4,100,48.83,12.58,17.37,23.51,32.73,41.23,48.83,64.98,78.77, ,
35,International Pa,2000000,0.4,100,71.53,18.52,22.23,33.08,44.59,55.77,71.53,95.36,106.01, ,
36,Johnson & Johns,2000000,0.4,100,24.5,12.14,15.33,16.28,18.16,21.64,24.5,34.96,50.25, ,
37,Kroger Co/The,2000000,0.4,100,40.86,11.9,15.34,20.43,26.71,33.51,40.86,60.32,75.37, ,
38,Lennar Corp,2000000,0.4,500,87.6,35.33,40.67,52.7,66.6,82.08,87.6,126.26,140.4, ,
39,Lincoln National ,2000000,0.4,100,125.55,46.17,54.69,70.6,88.13,108.61,125.55,161.74,185.64, ,
40,Lowe's Cos Inc,2000000,0.4,100,39.66,11.05,15.95,21.23,28.84,34.16,39.66,56.27,74.22, ,
41,McDonald's Corp,2000000,0.4,100,29.75,11.85,14.83,19.21,22.63,27.06,29.75,41.94,55.07, ,
42,Sekisui House US,2000000,0.4,100,69.21,23.88,31.1,38.56,52.43,65.62,69.21,97,128.83, ,
43,CVS Health Corp,2000000,0.4,100,54.42,16.74,20.65,29.39,38.06,46.43,54.42,79.51,100.24,,
44,Motorola Solution,2000000,0.4,100,44.2,11.71,17.53,21.93,30.58,38.69,44.2,61.39,81.1,,
45,Newmont Corp,2000000,0.4,100,40.7,9.61,15.67,21.02,25.73,33.46,40.7,62.62,86.21,,
46,Norfolk Southern,2000000,0.4,100,25.09,9.67,11.06,15.04,18.47,21.34,25.09,36.13,49.2,,
47,Northrop Grumm,2000000,0.4,100,27.77,7.81,11.38,16,19.91,24.12,27.77,39.84,51.83,,
48,Occidental Petro,2000000,0.4,100,97.01,44.44,49.81,63.41,76.88,84.96,97.01,125.21,147.54,,
49,Omnicom Group ,2000000,0.4,100,52.92,14.64,19.61,26.19,36.01,42.46,52.92,70.37,87.88,,
50,Pfizer Inc,2000000,0.4,100,36.94,13.01,15.19,20.09,26.47,32.42,36.94,57.61,81.5,,
51,Exelon Corp,2000000,0.4,100,34.5,11.17,13.01,18.05,24.27,28.91,34.5,48.92,64.38,,
52,Altria Group Inc,2000000,0.4,100,43.76,12.12,16.15,20.96,27.92,35.74,43.76,63.89,78.47,,
53,ConocoPhillips,2000000,0.4,100,42.77,13.65,14.49,20.02,28.21,36.16,42.77,67.66,87.62,,
54,PulteGroup Inc,2000000,0.4,500,79.01,31.96,33.52,45.91,58.92,71.72,79.01,110.66,135.07,,
55,PNC Financial Se,2000000,0.4,100,56.96,29.46,31.31,38.22,44.83,51.06,56.96,74.88,88.03,,
56,Procter & Gambl,2000000,0.4,100,26.87,13.14,16.2,18.61,21.59,23.64,26.87,36.41,47.24,,
57,Ryder System In,2000000,0.4,100,67.14,15.93,19,30.45,43.24,56.96,67.14,93.54,118.63,,
58,Sherwin-Williams,2000000,0.4,100,51.14,17,20.8,26.23,33.78,41.61,51.14,74.23,91.31,,
59,Southern Co/The,2000000,0.4,100,39.85,11.73,16.75,25.45,31.7,36.2,39.85,60.65,78.13,,
60,Southwest Airline,2000000,0.4,100,118.15,36.15,44.41,66.75,82.48,100.09,118.15,156.3,179.2,,
61,AT&T Inc,2000000,0.4,100,64.48,28.41,35.52,42.58,48.55,55.69,64.48,86.93,102.79,,
62,Toll Brothers Inc,2000000,0.4,100,90.2,31.32,37.66,55.21,67.2,85.05,90.2,125.68,151.29,,
63,Johnson Controls,2000000,0.4,100,39.54,12.88,15.84,20,25.75,32.58,39.54,54.7,65.38,,
64,Union Pacific Cor,2000000,0.4,100,26.72,9.1,11.6,15.49,20.2,24.04,26.72,38.61,51.8,,
65,UnitedHealth Gro,2000000,0.4,100,46.15,15.33,19.3,26.61,34.68,40.04,46.15,67.03,84.19,,
66,RTX Corp,2000000,0.4,100,38.74,10.54,14.31,20.91,28.06,33.28,38.74,53.27,67.26,,
67,Walmart Inc,2000000,0.4,100,27.75,11.2,13.12,18.23,21.46,25.27,27.75,39.68,50.26,,
68,Weyerhaeuser Co,2000000,0.4,100,36.13,14.07,15.72,19.92,25.58,30.63,36.13,50.15,66.49,,
69,Williams Cos Inc,2000000,0.4,100,54.14,17.9,20.21,27.46,36.96,46.41,54.14,81.6,102.31,,
70,AES Corp/The,2000000,0.4,500,115.26,21.84,38.66,59.02,78.42,97.22,115.26,155.77,175.47,,
71,Amgen Inc,2000000,0.4,100,37.31,12.25,13.71,21.56,28.65,34.07,37.31,56.2,74.78,,
72,Cisco Systems In,2000000,0.4,100,33.68,11.9,12.01,18.31,24.77,30.26,33.68,47.02,59.41,,
73,Comcast Corp,2000000,0.4,100,60.06,18.39,24.28,30.69,43,52.41,60.06,76.45,96.15,,
74,Dell Inc,2000000,0.4,100,75.26,16.86,22.58,32.49,47.44,62.22,75.26,103.91,123.62,,
75,Intel Corp,2000000,0.4,100,74.54,23.34,30.46,39.74,48.03,62.32,74.54,93.34,108.53,,
76,Oracle Corp,2000000,0.4,100,113.31,40.43,52.22,64.17,79.16,99.04,113.31,149.94,180.7,,
77,Tyson Foods Inc,2000000,0.4,100,50.28,15.6,20.27,26.6,35.73,42.69,50.28,71.76,91.48,,
78,Cardinal Health I,2000000,0.4,100,38.35,12.98,15.63,19.99,25.99,33.27,38.35,58.83,75.66,,
79,DR Horton Inc,2000000,0.4,100,61.03,21.13,27,35.38,44.41,54.06,61.03,81.97,98.97,,
80,Paramount Globa,2000000,0.4,100,140.77,36.99,28.66,48.74,78.25,113.21,140.77,183.78,204.38,,
81,Canadian Natura,2000000,0.4,100,69.87,22.87,28.35,37.42,50.19,59.57,69.87,101.13,131.17,,
82,Enbridge Inc,2000000,0.4,100,64.47,23.22,29.77,40.53,46.97,55.85,64.47,91.34,112.37, ,
83,Teck Resources ,2000000,0.4,500,51.3,13.66,18.9,28.39,35.67,43.95,51.3,78.73,99.49, ,
84,Radian Group Inc,2000000,0.4,500,99.18,26.11,36.29,53.67,68.89,81.78,99.18,129.85,153.57, ,
85,Royal Caribbean ,2000000,0.4,500,87.68,35.76,45.62,55.13,67.46,76.23,87.68,120.79,140.5, ,
86,Allstate Corp/Th,2000000,0.4,100,31.53,11.76,14,18.09,22.72,27.39,31.53,43.75,54.18, ,
87,BorgWarner Inc,2000000,0.4,100,57.96,21.2,26.12,32.31,40.56,49.58,57.96,85.38,107.58, ,
88,Eastman Chemica,2000000,0.4,100,101.81,25.94,31.57,46.35,66.31,85.41,101.81,133.02,152.93, ,
89,Prudential Finan,2000000,0.4,100,67.74,22.12,27.54,37.46,47.48,57.51,67.74,94.16,114.46, ,
