Tenor,OIS Curve Mid,Final Bid Rate,Final Ask Rate
1W,3.8976,3.8948,3.9003
2W,3.8994,3.8980,3.9007
3W,3.8575,3.8483,3.8667
1M,3.8131,3.8077,3.8185
2M,3.7659,3.7611,3.7706
3M,3.7293,3.7259,3.7327
4M,3.7088,3.7052,3.7124
5M,3.6777,3.6730,3.6824
6M,3.6503,3.6459,3.6547
7M,3.6248,3.6213,3.6283
8M,3.5906,3.5860,3.5952
9M,3.5564,3.5531,3.5597
10M,3.5253,3.5215,3.5291
11M,3.4949,3.4908,3.4990
12M,3.4649,3.4613,3.4685
18M,3.3091,3.3070,3.3111
2Y,3.2426,3.2384,3.2468
3Y,3.2065,3.1838,3.2291
4Y,3.2295,3.2250,3.2341
5Y,3.2742,3.2711,3.2772
6Y,3.3339,3.3299,3.3378
7Y,3.3995,3.3782,3.4209
8Y,3.4625,3.4573,3.4676
9Y,3.5254,3.5201,3.5306
10Y,3.5867,3.5835,3.5900
12Y,3.7000,3.6942,3.7057
15Y,3.8311,3.8275,3.8347
20Y,3.9403,3.9177,3.9628
25Y,3.9548,3.9322,3.9774
30Y,3.9282,3.9056,3.9508
40Y,3.8250,3.8109,3.8392
50Y,3.7117,3.6989,3.7244
