Company,Recovery,S_1Y,S_2Y,S_3Y,S_5Y,S_7Y,S_10Y
Advanced Micro D,0.4,0.9973768021419629,0.9928484741512261,0.9860162399464499,0.9650965674223138,0.9323429860906937,0.8824573676831505
Honeywell Intern,0.4,0.9984906710689441,0.9956246293849587,0.9913113521872743,0.9783005800762864,0.9552879224933448,0.9121229092661154
Barrick Mining C,0.4,0.99833068309787,0.9949642423025212,0.9893644505093103,0.9695433548568182,0.9340915523716585,0.8698362256023817
American Electri,0.4,0.9984258010158829,0.9951787992016532,0.9900922213827448,0.974006073282219,0.9473189924846513,0.8967090132482873
American Expres,0.4,0.99801872822245,0.9944688688998454,0.9889358613642218,0.9756753767917222,0.948286923188067,0.9017970040907403
American Interna,0.4,0.9968885996529815,0.9907173314599362,0.9811818224548998,0.9523728473923102,0.9071202349924675,0.8363626685017302
Arrow Electronic,0.4,0.9965862761663519,0.9892849067870505,0.9763986261449142,0.9348872211494512,0.8866375984494896,0.8051582672647846
AutoZone Inc,0.4,0.9976075432060446,0.9934291274262759,0.9883185807202228,0.9700777538194011,0.9437295387913287,0.8902381967060878
Avnet Inc,0.4,0.9968750047457531,0.9885015762317082,0.9740642756427897,0.9271071196061615,0.8691119882459779,0.7742514910597551
Baxter Internatio,0.4,0.996651589490216,0.989008434122172,0.9785173346324653,0.9335320141589045,0.8840815674599951,0.8084145990494246
Verizon Commun,0.4,0.996027601535929,0.9898064944464594,0.9800785465753411,0.9533653039959044,0.9125718189304982,0.8414179718407194
Best Buy Co Inc,0.4,0.996836775593083,0.9900422473755114,0.9816384279356095,0.945484521722204,0.8990658947800232,0.8116498372448907
Boeing Co/The,0.4,0.9957307043487559,0.9884642850161379,0.9778225911010923,0.9448261850453089,0.9071119156149322,0.8420795659264191
Boston Scientific,0.4,0.9981488756980778,0.9951625443910304,0.9908673419896383,0.9734746599356429,0.9462975911025105,0.900147683111197
Bristol-Myers Sq,0.4,0.9979402338585143,0.9943142337866249,0.989028088122124,0.9706151023484176,0.9435920836671321,0.8927441147243071
Campbell's Comp,0.4,0.997228413593418,0.9923537636784591,0.9837178880980616,0.9538985306356291,0.9085714591533789,0.8356929592690702
Caterpillar Inc,0.4,0.9983619316210324,0.9956672983682867,0.9906786605063399,0.9776520447574792,0.9526417931247041,0.905252761259106
Conagra Brands ,0.4,0.9965223378616641,0.9900724027403074,0.9782087860041931,0.9352622089323772,0.8824665745762965,0.7986572141561656
CSX Corp,0.4,0.998462109768177,0.9960477283462421,0.9920967658975748,0.9814105694785151,0.9611299925846581,0.9225466013912622
Danaher Corp,0.4,0.9985762857719672,0.9960888596514348,0.9912764376712722,0.9766516335067272,0.947536823827776,0.8964692249746731
Target Corp,0.4,0.9975521742748331,0.9915907023078365,0.9833726441908468,0.9582531237923598,0.928176819794514,0.8735035008521254
Deere & Co,0.4,0.9982743500490732,0.9948605267375297,0.9897548392831315,0.9731352534916342,0.9447928481470631,0.8874329107667821
Dominion Energy,0.4,0.9981134527890653,0.9936611293335038,0.9877258690325126,0.967991594397019,0.9359613038506035,0.8842392886169331
Dow Chemical Co,0.4,0.9962441362438013,0.9878079923739036,0.9730839313093528,0.921890810972844,0.8601136991299573,0.7642217867805763
FedEx Corp,0.4,0.9970056220079557,0.9917028502957809,0.9823670872296225,0.9559259365515309,0.9143766827675632,0.8441479798999751
Ford Motor Co,0.4,0.9897566683827849,0.9715340636481168,0.9465077580811164,0.87126175212943,0.7905157110602085,0.6738834431519034
Freeport-McMoRa,0.4,0.9974179428409536,0.9907531793703214,0.9782323826677498,0.9384310570307591,0.887449296587362,0.8032419671865267
General Electric ,0.4,0.998479427015483,0.9959734781891323,0.9919641088033332,0.9751609397876452,0.9418495162351457,0.8822259763053867
General Mills Inc,0.4,0.9975189709060929,0.9931266761849653,0.9849658823034475,0.9594981231287506,0.9269515572903182,0.866055050547984
Halliburton Co,0.4,0.9969001376011468,0.9907929037267125,0.982281905136354,0.9511882677867455,0.9076733476098421,0.8344985311320029
Kraft Heinz Food,0.4,0.9976100996806081,0.992029605112236,0.9839101584199,0.9569825043837193,0.9096478200204438,0.8349363167281266
HP Inc,0.4,0.9972036919715569,0.990403189977762,0.9779511553174908,0.9394930526537668,0.8926566084312334,0.7998031440064133
Home Depot Inc/,0.4,0.9981299388105256,0.9944959741814916,0.9897774350836829,0.9746071278758615,0.9518673664576001,0.9049987178146066
International Bu,0.4,0.9979028873244948,0.9937355708905685,0.9861807232181062,0.9622464600486643,0.9316768696086233,0.8776907766160724
International Pa,0.4,0.9973195855899958,0.9911875209800308,0.9812142956874266,0.9447968058749456,0.9005432795264994,0.8396430664205037
Johnson & Johns,0.4,0.9981501695273141,0.995674242720523,0.9923745539842568,0.9810697615932938,0.9628283006698826,0.9192613701156678
