Tenor,Detachment,Correlation
2.0,0.03,0.1590719288887858
3.0,0.03,0.25888231106211385
3.0,0.07,0.3339755655674762
3.0,0.1,0.33460392725061777
3.0,0.15,0.3502950487049058
5.0,0.03,0.31791895889465227
5.0,0.07,0.4695190076770885
5.0,0.1,0.5107759056408497
5.0,0.15,0.6106522820824944
7.0,0.03,0.3331732575746489
7.0,0.07,0.5122826995437718
7.0,0.1,0.5958407919375462
7.0,0.15,0.72358462484713
10.0,0.03,0.3193242879895308
10.0,0.07,0.5608502189146641
10.0,0.1,0.6419896284398181
10.0,0.15,0.7302871893652778
