,Company,Notional Recovery Rate,Recovery rate,Running Spread,Sprd at Maturity,6 Mo,1 Yr,2 Yr,3 Yr,4 Yr,5 Yr,7 Yr,10 Yr,,,,
1,Advanced Micro D,2000000,0.4,500,43.97,20.91,20.4,25.93,32.97,39.21,43.97,61.38,71.39,,,,
2,Ally Financial Inc,2000000,0.4,500,159.57,53.52,69.09,94.61,116.55,133.94,159.57,206.53,236.54,,,,
3,Altria Group Inc,2000000,0.4,100,42.42,12.13,16.1,20.36,29.2,35.62,42.42,64.48,80.19,,,,
4,Amazon.com Inc,2000000,0.4,100,41.21,17.73,21.9,28.09,33.64,37.73,41.21,57.06,69.91,,,,
5,American Electri,2000000,0.4,100,34.54,10.77,13.46,17.84,23.6,29.6,34.54,50.81,66.57,,,,
6,American Expres,2000000,0.4,100,31.67,11.11,12.96,19.95,24.57,28.34,31.67,46.93,59.29,,,,
7,American Interna,2000000,0.4,100,61.55,23.61,26.91,33.99,43.33,50.3,61.55,91.69,111.63,,,,
8,Amgen Inc,2000000,0.4,100,36.11,11.92,13.65,20.17,27.05,32.41,36.11,54.74,73.53,,,,
9,APA Corp,2000000,0.4,100,107.41,38.03,43.73,57.19,71.69,90.98,107.41,139.65,165.16,,,,
10,Arrow Electronic,2000000,0.4,100,82.66,23.65,24.88,37.46,51.92,70.25,82.66,107.44,127.71,,,,
11,AT&T Inc,2000000,0.4,100,63.77,28.06,35.07,41.1,47.7,55.27,63.77,87.44,102.33,,,,
12,AutoZone Inc,2000000,0.4,100,37,9.92,15.62,22.86,24.74,30.89,37,52.9,70.38,,,,
13,Avnet Inc,2000000,0.4,100,92.74,25.82,24.86,40.7,58.13,77.4,92.74,124.17,149,,,,
14,Barrick Mining C,2000000,0.4,100,37.77,8.39,13.81,17.8,23.72,31.01,37.77,57.33,75.61,,,,
15,Baxter Internatio,2000000,0.4,100,85.3,20.57,28.07,40.51,51.22,68.78,85.3,113.2,129.97,,,,
16,Best Buy Co Inc,2000000,0.4,500,66.12,17.75,23.93,34.49,42.15,54.54,66.12,91.39,116.92,,,,
17,Block Financial L,2000000,0.4,500,72.72,27.54,31.61,43.27,53.17,63.93,72.72,105.05,130.48,,,,
18,BorgWarner Inc,2000000,0.4,100,56.99,19.32,23.74,30.62,40.11,48.5,56.99,81.39,101.26,,,,
19,Boston Scientific,2000000,0.4,100,33.76,10.84,14.02,17.26,21.34,27.83,33.76,51.29,64.77,,,,
20,Bristol-Myers Sq,2000000,0.4,100,37.61,14.74,16.08,20.06,25.91,31.71,37.61,53.98,69.57,,,,
21,Broadcom Inc,2000000,0.4,100,39.87,16.46,17.88,22.01,28.82,35.14,39.87,58.15,73.37,,,,
22,Canadian Natura,2000000,0.4,100,67.55,23.03,25.49,34.7,46.13,56.65,67.55,101.85,132.43, ,,,
23,Capital One Finan,2000000,0.4,100,81.08,30.8,37.83,52.5,60.73,70.98,81.08,107.44,131.65, ,,,
24,Cardinal Health I,2000000,0.4,100,37.25,12.27,15.41,18.85,25.53,31.96,37.25,58.33,75.67, ,,,
25,Caterpillar Inc,2000000,0.4,100,28.2,8.62,12.57,14.57,19.44,24.39,28.2,44.77,60.84, ,,,
26,Cisco Systems In,2000000,0.4,100,33.68,12.42,12.88,17.82,23.92,30.14,33.68,45.12,56.01, ,,,
27,Comcast Corp,2000000,0.4,100,59.18,17.59,24.78,31.15,41.81,52.38,59.18,78.35,100.21, ,,,
28,Conagra Brands ,2000000,0.4,100,84.07,25.38,27.04,37.01,52.72,67.33,84.07,113.79,134.84, ,,,
29,ConocoPhillips,2000000,0.4,100,42.77,14.3,15.36,21.03,27.97,36.21,42.77,61.25,73.63, ,,,
30,Cox Communicat,2000000,0.4,100,62.94,14,21.6,29.19,40.53,52.09,62.94,79.3,98.37, ,,,
