Tenor,Detachment,Correlation
3.0,0.005,0.15287481635837064
3.0,0.01,0.17087273743796347
3.0,0.015,0.18800431660693762
3.0,0.02,0.20416975831266865
3.0,0.025,0.21926926700253196
3.0,0.03,0.2332030471239032
3.0,0.035,0.24587130312415778
3.0,0.04,0.2571742394506712
3.0,0.045,0.26701206055081905
3.0,0.05,0.2752849708719767
3.0,0.055,0.28189317486151977
3.0,0.06,0.28673687696682376
3.0,0.065,0.28971628163526403
3.0,0.07,0.2907315933142163
3.0,0.075,0.2902910300957496
3.0,0.08,0.2888510642298316
3.0,0.085,0.28623428140068535
3.0,0.09,0.2822632672925341
3.0,0.095,0.2767606075896008
3.0,0.1,0.2695488879761087
3.0,0.105,0.2604506941362809
3.0,0.11,0.24928861175434047
3.0,0.115,0.23588522651451055
3.0,0.12,0.2200631241010143
3.0,0.125,0.20164489019807477
3.0,0.13,0.18045311048991508
3.0,0.135,0.1563103706607584
3.0,0.14,0.12903925639482777
3.0,0.145,0.0984623533763466
3.0,0.15,0.06440224728953756
5.0,0.005,0.16482454671885632
5.0,0.01,0.19375938163627354
5.0,0.015,0.22233689169394832
5.0,0.02,0.25035286926831013
5.0,0.025,0.27760310673578825
5.0,0.03,0.3038833964728122
5.0,0.035,0.3289895308558113
5.0,0.04,0.3527173022612149
5.0,0.045,0.37486250306545255
5.0,0.05,0.3952209256449534
5.0,0.055,0.41358836237614705
5.0,0.06,0.4297606056354627
5.0,0.065,0.44353344779933
5.0,0.07,0.4547026812441782
5.0,0.075,0.46343575640168233
5.0,0.08,0.470492234908651
5.0,0.085,0.476556075949213
5.0,0.09,0.48231123870749765
5.0,0.095,0.4884416823676339
5.0,0.1,0.4956313661137511
5.0,0.105,0.5037728988032615
5.0,0.11,0.5123021760868016
5.0,0.115,0.5212180873383354
5.0,0.12,0.5305195219318275
5.0,0.125,0.5402053692412422
5.0,0.13,0.5502745186405437
5.0,0.135,0.5607258595036965
5.0,0.14,0.5715582812046649
5.0,0.145,0.5827706731174133
5.0,0.15,0.594361924615906
7.0,0.005,0.16936542954885447
7.0,0.01,0.20165151465283876
7.0,0.015,0.23306753771891717
7.0,0.02,0.26355184187107766
7.0,0.025,0.2930427702333083
7.0,0.03,0.3214786659295971
7.0,0.035,0.3487978720839321
7.0,0.04,0.3749387318203012
7.0,0.045,0.39983958826269256
7.0,0.05,0.4234387845350941
7.0,0.055,0.44567466376149384
7.0,0.06,0.46648556906587985
7.0,0.065,0.4858098435722401
7.0,0.07,0.5035858304045626
7.0,0.075,0.5196680503792482
7.0,0.08,0.5342466321076201
7.0,0.085,0.5477633304060489
7.0,0.09,0.5606599000909049
7.0,0.095,0.5733780959785596
7.0,0.1,0.5863596728853832
7.0,0.105,0.5995725516049528
7.0,0.11,0.6126854902885704
7.0,0.115,0.6256914997891937
7.0,0.12,0.6385835909597811
7.0,0.125,0.6513547746532901
7.0,0.13,0.6639980617226788
7.0,0.135,0.6765064630209054
7.0,0.14,0.6888729894009273
7.0,0.145,0.7010906517157031
7.0,0.15,0.7131524608181904
10.0,0.005,0.086841318576589
10.0,0.01,0.13322045889791856
10.0,0.015,0.1786450014100847
10.0,0.02,0.22289624756388843
10.0,0.025,0.26575549881013066
10.0,0.03,0.3070040565996125
10.0,0.035,0.34642322238313483
10.0,0.04,0.3837942976114986
10.0,0.045,0.4188985837355048
10.0,0.05,0.45151738220595444
10.0,0.055,0.48143199447364854
10.0,0.06,0.5084237219893879
10.0,0.065,0.5322738662039737
10.0,0.07,0.5527637285682069
10.0,0.075,0.5703988750727312
10.0,0.08,0.5860580137572723
10.0,0.085,0.600082159146253
10.0,0.09,0.6128123257640963
10.0,0.095,0.6245895281352253
10.0,0.1,0.6357547807840629
10.0,0.105,0.6466004241538409
10.0,0.11,0.657152295724148
10.0,0.115,0.6673516555739428
10.0,0.12,0.6771397637821837
10.0,0.125,0.6864578804278292
10.0,0.13,0.6952472655898378
10.0,0.135,0.7034491793471681
10.0,0.14,0.7110048817787785
10.0,0.145,0.7178556329636276
10.0,0.15,0.7239426929806738
