,Company,Notional Recovery Rate,Recovery rate,Running Spread,Sprd at Maturity,6 Mo,1 Yr,2 Yr,3 Yr,4 Yr,5 Yr,7 Yr,10 Yr, , 
1,Advanced Micro D,2000000,0.4,500,44.07,21.34,20.84,26.49,33.36,39.05,44.07,60.75,77.27, , 
2,Ally Financial Inc,2000000,0.4,500,154.16,50.96,65.84,92.93,114.25,133.06,154.16,197.54,225.59, , 
3,Altria Group Inc,2000000,0.4,100,42.23,11.92,15.82,20.49,28.58,35.7,42.23,63.77,79.22, , 
4,Amazon.com Inc,2000000,0.25,100,41.27,17.77,21.97,27.53,32.59,36.76,41.27,56.5,68.99, , 
5,American Electri,2000000,0.4,100,34.04,10.23,12.99,17.94,24.32,30.45,34.04,49.95,65.47, , 
6,American Expres,2000000,0.4,100,30.37,12.17,14.19,18.18,22.95,27.03,30.37,50.42,65.68, , 
7,American Interna,2000000,0.4,100,61.33,23.54,26.81,33.94,44.06,51.3,61.33,90.13,109.88, , 
8,Amgen Inc,2000000,0.4,100,35.52,12.03,13.32,20.56,27.76,32.55,35.52,54.47,73.66, , 
9,APA Corp,2000000,0.4,100,107.92,36.33,41.74,55.3,73.26,93.15,107.92,138.25,162.75, , 
10,Arrow Electronic,2000000,0.4,100,80.66,23.3,27.04,37.97,52.53,68.02,80.66,107.14,127.66, , 
11,AT&T Inc,2000000,0.4,100,63.83,28.46,34.97,42.03,48.32,55.59,63.83,85.57,100.75, , 
12,AutoZone Inc,2000000,0.4,100,36.42,10.71,16.69,20.43,26.34,30.51,36.42,51.25,67.96, , 
13,Avnet Inc,2000000,0.4,100,89.88,23.95,25.22,40.56,57.78,75.88,89.88,124.18,149.28, , 
14,Barrick Mining C,2000000,0.4,100,37.04,8.23,12.9,18.61,24.61,31.34,37.04,60.43,82.73, , 
15,Baxter Internatio,2000000,0.4,100,86.64,20.67,27.67,39.62,51.67,68.99,86.64,112.57,128.69, , 
16,Best Buy Co Inc,2000000,0.4,500,65.24,17.57,24.32,34.71,42.52,54.21,65.24,90.31,117.63, , 
17,Block Financial L,2000000,0.4,500,71.69,27.95,32.11,41.29,52.79,62.79,71.69,105.28,131.54, , 
18,BorgWarner Inc,2000000,0.4,100,55.33,18.31,22.51,30.24,37.56,46.92,55.33,79.52,99.36, , 
19,Boston Scientific,2000000,0.4,100,33.15,11.28,14.58,17.58,21.11,28.97,33.15,50.64,64.22, , 
20,Bristol-Myers Sq,2000000,0.4,100,37.17,14.05,15.32,19.18,24.47,30.65,37.17,53.75,69.53, , 
21,Broadcom Inc,2000000,0.4,100,39.1,14.95,16.26,21.18,27.29,33.75,39.1,59.47,73.52, , 
22,Canadian Natura,2000000,0.4,100,67.31,21.86,26.76,35.93,47.28,57.42,67.31,98.98,128.57, , 
23,Capital One Finan,2000000,0.4,100,78.09,31.26,38.38,50.5,59.08,69.42,78.09,102.4,125.53, , 
24,Cardinal Health I,2000000,0.4,100,36.36,12.07,15.01,20.42,26.41,31.1,36.36,58.43,76.56, , 
25,Caterpillar Inc,2000000,0.4,100,27.29,8.84,12.89,15.48,20.87,25.3,27.29,45.48,61.37, , 
26,Cisco Systems In,2000000,0.4,100,33.68,12.05,12.85,17.77,24.25,29.67,33.68,46.29,58.08, , 
