Tenor,OIS Curve Mid,,,Final Bid Rate,Final Ask Rate
1W,3.897000074,,,3.887464762,3.906535387
2W,3.830249786,,,3.809853792,3.850645781
3W,3.775000095,,,3.76494503,3.785055161
1M,3.746250153,,,3.735375404,3.757124901
2M,3.712249994,,,3.70471096,3.719789028
3M,3.68475008,,,3.677975178,3.691524982
4M,3.661000013,,,3.655107737,3.66689229
5M,3.639204979,,,3.633125067,3.645284891
6M,3.613899946,,,3.6081357,3.619664192
7M,3.587199926,,,3.582327366,3.592072487
8M,3.553299904,,,3.548514128,3.55808568
9M,3.522599936,,,3.517015219,3.528184652
10M,3.492249966,,,3.486250401,3.498249531
11M,3.46124506,,,3.455127478,3.467362642
12M,3.432700157,,,3.427429199,3.437971115
18M,3.274800062,,,3.270474672,3.279125452
2Y,3.207579407,,,3.198425859,3.216732954
3Y,3.166805062,,,3.144440747,3.189169377
4Y,3.18443681,,,3.177040436,3.191833184
5Y,3.22320087,,,3.216997414,3.229404325
6Y,3.279257853,,,3.267150984,3.291364722
7Y,3.341783184,,,3.337126805,3.346439562
8Y,3.405224211,,,3.393479221,3.416969201
9Y,3.467914779,,,3.46038237,3.475447187
10Y,3.528606184,,,3.522287711,3.534924657
12Y,3.642527794,,,3.629712797,3.655342791
15Y,3.773336669,,,3.761443454,3.785229885
20Y,3.884556245,,,3.870251238,3.898861252
25Y,3.899814163,,,3.888292786,3.911335539
30Y,3.873826981,,,3.849104118,3.898549845
40Y,3.770377971,,,3.755197397,3.785558546
50Y,3.654255645,,,3.64087586,3.66763543
