Company,Recovery,S_1Y,S_2Y,S_3Y,S_5Y,S_7Y,S_10Y
Advanced Micro D,0.4,0.996533485064346,0.9911755090656491,0.9832975237229823,0.963216887280387,0.9286570833474629,0.871395705662234
Ally Financial Inc,0.4,0.9890584971567895,0.9692565620846608,0.9436966351007305,0.8756248323233087,0.782402173861739,0.6649555666887214
Altria Group Inc,0.4,0.9973607485069613,0.9931596082913363,0.9856307799462469,0.9645201002172147,0.9245184998350363,0.8679693351224699
Amazon.com Inc,0.25,0.9970696939047833,0.9926538315714812,0.9869441674728308,0.972398833095164,0.9466511944948159,0.9073778010602738
American Electri,0.4,0.9978331081631114,0.9940047169449253,0.987766598988581,0.9714184865644939,0.9407516384472271,0.8895467949178214
American Expres,0.4,0.997634679341943,0.993931915299527,0.9884796981277285,0.9745325981831994,0.9398449274625984,0.8889063547028612
American Interna,0.4,0.9955363113460421,0.9887004304769065,0.9779640736277773,0.948899711859976,0.8947394360430645,0.8210111748870997
Amgen Inc,0.4,0.9977804807177788,0.993125407367597,0.9860403543733174,0.9702809002277277,0.9354310625840244,0.8758500285931934
APA Corp,0.4,0.9930581194511591,0.9816333865794689,0.9635379631582711,0.9112763524117501,0.8433740545456289,0.746490276050886
Arrow Electronic,0.4,0.9954973786352098,0.9873473014708036,0.9737068340233619,0.9329418800962165,0.8764204609492099,0.795665792839919
AT&T Inc,0.4,0.9941776593852425,0.9860308724693699,0.9759484541207585,0.9471128965937354,0.9008170495430315,0.8366253338568754
AutoZone Inc,0.4,0.9972128740548145,0.9931816702063421,0.9867785167920766,0.969420578602659,0.9393782772651819,0.885519313400037
Avnet Inc,0.4,0.9958034343973842,0.9864702690611178,0.9710658437601535,0.9254117996574261,0.8572370817229212,0.7634567085991185
Barrick Mining C,0.4,0.9978451484232148,0.9937752032524475,0.987622307784692,0.9688223876764196,0.9280474071635509,0.8606081684283553
Baxter Internatio,0.4,0.9953875132831084,0.9867917545769557,0.9741643516123033,0.9278229634124446,0.8703926074245492,0.7953307675833804
Best Buy Co Inc,0.4,0.9959439949349209,0.9884202491519197,0.9787363937334143,0.9455497953016373,0.8948221976310993,0.8079949137770013
