Tenor,OIS Curve Mid,Bid,,Final Bid Rate,Final Ask Rate
1W,3.89345026,,,3.869650364,3.917250156
2W,3.795550346,,,3.779965162,3.81113553
3W,3.746000052,,,3.736068964,3.755931139
1M,3.724950314,,,3.719967604,3.729933023
2M,3.697639942,,,3.69294095,3.702338934
3M,3.674490452,,,3.670292139,3.678688765
4M,3.653999806,,,3.650152683,3.657846928
5M,3.633399963,,,3.62913084,3.637669086
6M,3.614059925,,,3.60991025,3.6182096
7M,3.591320038,,,3.587851048,3.594789028
8M,3.564399958,,,3.55984354,3.568956375
9M,3.534850121,,,3.531339169,3.538361073
10M,3.506545067,,,3.502337933,3.510752201
11M,3.482029915,,,3.477407694,3.486652136
12M,3.456550122,,,3.452581406,3.460518837
18M,3.31701994,,,3.314238787,3.319801092
2Y,3.261819637,,,3.255610798,3.268028476
3Y,3.236632143,,,3.212548448,3.260715837
4Y,3.264097643,,,3.258081251,3.270114034
5Y,3.311854745,,,3.289613,3.33409649
6Y,3.370280047,,,3.360505556,3.380054538
7Y,3.433616306,,,3.425126768,3.442105844
8Y,3.497754293,,,3.488681847,3.506826738
9Y,3.561330749,,,3.544206923,3.578454574
10Y,3.62212237,,,3.618731895,3.625512844
12Y,3.735869629,,,3.714316163,3.757423095
15Y,3.867065202,,,3.851824677,3.882305727
20Y,3.979689019,,,3.964125144,3.995252893
25Y,3.995623249,,,3.979605217,4.011641281
30Y,3.968565675,,,3.945981387,3.991149962
40Y,3.865733176,,,3.852110476,3.879355875
50Y,3.752306113,,,3.736607206,3.76800502
