Company,Recovery,S_1Y,S_2Y,S_3Y,S_5Y,S_7Y,S_10Y
Advanced Micro D,0.4,0.996518852543177,0.9914184708046924,0.9836293705593756,0.9644379502200047,0.9248804806992316,0.860920812472609
Ally Financial Inc,0.4,0.9896557951729729,0.9720683726760138,0.9471050372777207,0.8819294115847826,0.7883829164790047,0.6726533047943435
Altria Group Inc,0.4,0.997317506158339,0.9929248844937952,0.9857148244647044,0.9654805418582713,0.9285398521020778,0.875242454625469
Amazon.com Inc,0.25,0.9972416017864283,0.9929713797857428,0.9874373589339916,0.9734306184726852,0.9495051223966379,0.913486159750454
American Electri,0.4,0.9978864937037998,0.9944902416485633,0.98885610790302,0.972685545751119,0.9428544112221946,0.8923491787907684
American Expres,0.4,0.997471615229041,0.9935899568703702,0.9877424656570268,0.9747490825461778,0.9446548688271228,0.8990960302177079
American Interna,0.4,0.9958753770819535,0.9891852343271758,0.9787338162224171,0.9504968485144847,0.8995852516671315,0.8297031790782087
Amgen Inc,0.4,0.9978088649077927,0.9933804068561557,0.987026430730546,0.9710899650904887,0.9379707563320339,0.8804799747644853
APA Corp,0.4,0.9932391005979645,0.9825559146142495,0.965046758792865,0.9130050722861934,0.845039255131027,0.7480279618313589
Arrow Electronic,0.4,0.9958945046655305,0.9880174805001638,0.9749142871133312,0.936953835344922,0.8798266698504118,0.8007883056247928
AT&T Inc,0.4,0.9943545223435094,0.9865011839363329,0.9764708502777516,0.9480409914696775,0.9015366972617939,0.8376494905970834
AutoZone Inc,0.4,0.9972949018244875,0.9929127807203456,0.9872189924599638,0.9704092610839454,0.9407587519423337,0.8875982773777281
Avnet Inc,0.4,0.9956936093884775,0.9867890171677299,0.9717215484980635,0.9290670510977767,0.8628182194701588,0.7714698268804473
Barrick Mining C,0.4,0.9978264544218871,0.9941023858375597,0.9884135796080916,0.9695377342251217,0.9313389120973132,0.8665640888559392
Baxter Internatio,0.4,0.9951865202262539,0.9864275972801952,0.9744960314507806,0.9290892274142118,0.8713018553001133,0.7958489240404572
Best Buy Co Inc,0.4,0.996118702900823,0.9888876699360044,0.9796661078074042,0.9465612635819155,0.8966724981674475,0.8143561557237324
Block Financial L,0.4,0.9949083872372436,0.9868859386458098,0.973882220024506,0.9432006017703806,0.8801715447332907,0.7897304530244502
BorgWarner Inc,0.4,0.9964500886885893,0.9899121148026729,0.9809059625056177,0.9535097497934705,0.9053400015036656,0.8341014238226808
Boston Scientific,0.4,0.9978377605882455,0.9943464485101794,0.9898613382670796,0.9735636427668168,0.9435780724030794,0.8988660722233734
Bristol-Myers Sq,0.4,0.99746527395739,0.9935837623986736,0.9873793984216692,0.9701071559927327,0.9388525067146489,0.887377173528605
Broadcom Inc,0.4,0.9971952292061141,0.9929402882636982,0.9862918862341189,0.9678822131288215,0.9330453197346138,0.883706210934298
Canadian Natura,0.4,0.995536422986447,0.9880800491792645,0.9761231751291255,0.9455480089069339,0.8867270572838384,0.7955438489281413
Capital One Finan,0.4,0.9943089457007266,0.9852341461429268,0.9724753598455239,0.936754149585548,0.8828921930478493,0.7984547237694256
Cardinal Health I,0.4,0.9977803245513449,0.994398149895093,0.9885372175187901,0.9719706768204387,0.9357070311995409,0.8807184542025561
Caterpillar Inc,0.4,0.9979209525462213,0.9951365994552317,0.9898731843109262,0.9770523146646396,0.9470077436240869,0.8974051740330425
Cisco Systems In,0.4,0.997860131791115,0.9943936896594759,0.9884951915661927,0.9716247145719463,0.9475973072968883,0.9055983115816361
Comcast Corp,0.4,0.9954675700648495,0.9890478070379853,0.9778596917608076,0.951557816377181,0.9079856644711017,0.8330028573615832
Conagra Brands ,0.4,0.9955208155187206,0.9878568055163551,0.9748036986555728,0.9307337429541036,0.8719679341783133,0.7903954328124817
ConocoPhillips,0.4,0.9975285464373616,0.9934871839172383,0.9867195783995959,0.963932875037946,0.9229162243150826,0.8654039048071447
Cox Communicat,0.4,0.9965994803973429,0.9905745375399053,0.9800953562075243,0.9475443657020463,0.9062993490648341,0.835284908455088
CSX Corp,0.4,0.9983885061129467,0.9959613978781652,0.9920702621472748,0.9822434362586773,0.9587832467570574,0.9175466530858204
CVS Health Corp,0.4,0.9968816154870355,0.9905471288333071,0.981487961002603,0.9564339211456893,0.9081955480183793,0.835717118342022
DR Horton Inc,0.4,0.9955854799086403,0.9890251655194083,0.9790546230922057,0.9556014565680031,0.9098632776331664,0.8436912852066238
Danaher Corp,0.4,0.998204494904486,0.9950919702928336,0.9901198951035176,0.9761436970491635,0.9454333295779637,0.8965129906397021
