Tenor,OIS Curve Mid,OIS Curve Bid
1W,3.936,3.919
2W,3.9008,3.8893
3W,3.892,3.8822
1M,3.8854,3.8823
2M,3.8084,3.8053
3M,3.7524,3.7492
4M,3.693,3.6898
5M,3.6485,3.6452
6M,3.6093,3.6057
7M,3.5738,3.5694
8M,3.54,3.536
9M,3.5078,3.5037
10M,3.4735,3.4688
11M,3.4435,3.439
12M,3.4155,3.4102
18M,3.258,3.2529
2Y,3.1966,3.1861
3Y,3.164,3.151
4Y,3.189,3.1844
5Y,3.2325,3.2248
6Y,3.2852,3.2759
7Y,3.3432,3.3333
8Y,3.4011,3.3912
9Y,3.4589,3.4533
10Y,3.5141,3.5101
12Y,3.6172,3.612
15Y,3.7382,3.7297
20Y,3.837,3.8286
25Y,3.8455,3.8384
30Y,3.8139,3.8034
40Y,3.7059,3.6913
50Y,3.584,3.5725
