,Company,Notional Recovery Rate,Recovery rate,Running Spread,Sprd at Maturity,6 Mo,1 Yr,2 Yr,3 Yr,4 Yr,5 Yr,7 Yr,10 Yr,Unnamed: 14,Unnamed: 15
1,Advanced Micro D,2000000,0.4,500,44.72,17.53,19.89,25.83,32.39,37.5,44.72,66.35,79.29, , 
2,Honeywell Intern,2000000,0.4,100,26.68,9.83,12.92,15.61,19.36,22.43,26.68,39.62,52.4, , 
3,Barrick Mining C,2000000,0.4,100,39.26,8.47,13.84,18.33,24.25,31.51,39.26,59.97,78.95, , 
4,American Electri,2000000,0.4,100,33.75,10.65,13.27,17.65,24.04,29.08,33.75,49.42,64.69, , 
5,American Expres,2000000,0.4,100,31.48,12.61,14.76,18.98,23.97,28.09,31.48,46.83,59.24, , 
6,American Interna,2000000,0.4,100,62.25,23.18,26.48,33.31,44.7,51.47,62.25,88.95,107.51, , 
7,Arrow Electronic,2000000,0.4,100,84.8,23.97,25.9,38.08,52.85,70.54,84.8,108.45,128.52, , 
8,AutoZone Inc,2000000,0.4,100,37.89,11.09,17.89,22.98,26.67,31.81,37.89,52.8,69.41, , 
9,Avnet Inc,2000000,0.4,100,95.07,25.25,25.06,41.64,59.32,78.72,95.07,124.71,149.74, , 
10,Baxter Internatio,2000000,0.4,100,86.07,20.1,28.11,40.76,51.57,69.79,86.07,114.02,130.53, , 
11,Verizon Commun,2000000,0.4,100,61.07,27.65,32.2,37.58,46.27,55.95,61.07,82.44,102.15, , 
12,Best Buy Co Inc,2000000,0.4,500,68.48,17.83,25.19,36.04,44.05,56.58,68.48,93.14,118.59, , 
13,Boeing Co/The,2000000,0.4,100,71.46,28.65,33.26,42.6,52.82,59.99,71.46,90.77,106.08, , 
14,Boston Scientific,2000000,0.4,100,34.25,11.18,14.01,18.31,21.37,28.95,34.25,50.74,63.46, , 
15,Bristol-Myers Sq,2000000,0.4,100,37.65,15.21,16.45,20.92,26.57,31.56,37.65,53.87,69.27, , 
16,Campbell's Comp,2000000,0.4,100,58.54,15.21,21.7,27.49,37.83,47.24,58.54,85.65,105.39, , 
17,Caterpillar Inc,2000000,0.4,100,29.18,8.5,12.46,15.14,20.9,24.61,29.18,44.61,59.93, , 
18,Conagra Brands ,2000000,0.4,100,85.6,24.0,28.44,37.68,51.79,68.78,85.6,111.24,129.96, , 
19,CSX Corp,2000000,0.4,100,23.93,10.67,11.43,13.87,17.72,20.28,23.93,36.69,48.93, , 
20,Danaher Corp,2000000,0.4,100,30.48,8.37,11.42,15.27,20.84,24.77,30.48,51.05,67.96, , 
21,Target Corp,2000000,0.4,100,53.09,13.54,21.36,30.62,38.12,44.76,53.09,68.26,81.83, , 
22,Deere & Co,2000000,0.4,100,35.41,12.76,14.74,19.44,24.78,30.58,35.41,51.94,70.45, , 
23,Dominion Energy,2000000,0.4,100,41.72,9.9,15.91,23.9,29.52,35.39,41.72,61.0,74.63, , 
24,Dow Chemical Co,2000000,0.4,100,103.29,23.56,31.15,46.46,65.3,84.6,103.29,136.13,159.01, , 
25,FedEx Corp,2000000,0.4,100,57.26,19.1,22.64,30.57,40.58,48.56,57.26,80.18,98.88, , 
26,Ford Motor Co,2000000,0.4,500,169.25,73.78,83.53,105.33,126.23,145.37,169.25,209.6,240.46, , 
27,Freeport-McMoRa,2000000,0.4,100,80.34,18.63,22.06,34.78,50.82,67.32,80.34,109.92,132.74, , 
28,General Electric ,2000000,0.4,100,31.8,10.88,12.14,13.9,18.69,24.93,31.8,53.51,72.86, , 
29,General Mills Inc,2000000,0.4,100,50.35,14.54,18.41,23.98,33.57,40.75,50.35,67.82,84.89, , 
30,Halliburton Co,2000000,0.4,100,64.07,22.77,25.58,34.08,41.64,53.94,64.07,86.15,104.22, , 
31,Kraft Heinz Food,2000000,0.4,100,55.68,15.29,19.79,29.46,38.27,45.94,55.68,86.37,108.63, , 
32,HP Inc,2000000,0.4,100,77.36,18.9,22.63,35.09,51.28,65.78,77.36,104.1,132.5, , 
33,Home Depot Inc/,2000000,0.4,100,31.71,11.73,14.14,18.59,22.51,26.18,31.71,44.97,60.05, , 
34,International Bu,2000000,0.4,100,47.67,12.39,16.69,22.76,31.49,39.99,47.67,63.64,77.44, , 
35,International Pa,2000000,0.4,100,71.05,19.58,23.49,33.1,44.91,56.4,71.05,93.97,104.26, , 
36,Johnson & Johns,2000000,0.4,100,25.21,12.46,14.93,16.6,18.23,21.39,25.21,38.85,56.32, , 
37,Kroger Co/The,2000000,0.4,100,42.2,12.99,16.17,21.78,27.82,34.71,42.2,62.24,77.64, , 
38,Lennar Corp,2000000,0.4,500,86.31,35.01,39.4,51.21,64.64,80.56,86.31,123.61,141.23, , 
39,Lincoln National ,2000000,0.4,100,125.76,45.47,53.72,70.83,87.66,108.21,125.76,156.86,177.86, , 
40,Lowe's Cos Inc,2000000,0.4,100,40.31,11.92,16.39,21.07,28.94,34.13,40.31,57.43,75.74, , 
41,McDonald's Corp,2000000,0.4,100,28.65,11.45,13.39,16.84,20.92,24.61,28.65,40.81,53.22, , 
42,Sekisui House US,2000000,0.4,100,71.15,23.9,31.13,39.56,50.76,61.04,71.15,111.11,150.85, , 
43,CVS Health Corp,2000000,0.4,100,54.41,16.73,19.65,28.3,37.77,45.26,54.41,84.55,108.27, ,
44,Motorola Solution,2000000,0.4,100,43.65,11.33,17.38,21.7,29.88,37.77,43.65,60.32,79.33, ,
45,Newmont Corp,2000000,0.4,100,41.35,9.46,15.42,21.13,27.07,34.1,41.35,61.82,84.33, ,
46,Norfolk Southern,2000000,0.4,100,25.19,10.36,11.75,14.59,17.97,21.16,25.19,35.74,48.46, ,
47,Northrop Grumm,2000000,0.4,100,28.02,7.36,11.28,15.56,20.09,23.94,28.02,41.33,54.17, ,
48,Occidental Petro,2000000,0.4,100,97.8,45.99,51.56,64.44,77.13,85.92,97.8,127.36,150.48, ,
49,Omnicom Group ,2000000,0.4,100,52.85,14.61,19.0,25.59,35.03,42.33,52.85,68.74,86.34, ,
50,Pfizer Inc,2000000,0.4,100,36.65,13.12,15.08,19.62,25.05,30.1,36.65,58.8,83.66, ,
51,Exelon Corp,2000000,0.4,100,34.96,12.0,13.5,18.03,24.01,29.01,34.96,49.49,65.02, ,
52,Altria Group Inc,2000000,0.4,100,44.39,12.21,16.26,21.53,29.84,36.52,44.39,65.39,80.43, ,
53,ConocoPhillips,2000000,0.4,100,42.77,14.52,14.55,20.24,27.93,36.58,42.77,67.24,86.49, ,
54,PulteGroup Inc,2000000,0.4,500,79.58,31.79,33.35,46.31,59.7,72.35,79.58,111.18,135.52, ,
55,PNC Financial Se,2000000,0.4,100,57.65,28.09,29.86,36.63,44.24,50.71,57.65,74.23,86.58, ,
56,Procter & Gambl,2000000,0.4,100,27.42,12.49,15.38,18.29,21.13,23.21,27.42,36.76,47.29, ,
57,Ryder System In,2000000,0.4,100,67.04,15.13,18.05,29.38,41.93,56.87,67.04,94.71,120.05, ,
58,Sherwin-Williams,2000000,0.4,100,51.1,17.07,20.85,26.39,34.19,42.11,51.1,74.25,91.32, ,
59,Southern Co/The,2000000,0.4,100,41.91,12.71,17.23,25.7,32.15,36.56,41.91,60.24,76.11, ,
60,Southwest Airline,2000000,0.4,100,120.15,36.71,45.1,66.48,82.5,100.11,120.15,156.92,178.81, ,
61,AT&T Inc,2000000,0.4,100,64.92,28.84,35.14,41.93,48.77,56.68,64.92,87.83,105.12, ,
62,Toll Brothers Inc,2000000,0.4,100,87.65,31.43,37.49,53.18,66.11,82.77,87.65,124.17,151.23, ,
63,Johnson Controls,2000000,0.4,100,38.9,12.11,14.87,19.08,24.84,31.87,38.9,54.66,65.81,,
64,Union Pacific Cor,2000000,0.4,100,27.52,8.92,11.44,14.66,19.01,22.74,27.52,38.5,50.73,,
65,UnitedHealth Gro,2000000,0.4,100,46.25,17.74,21.09,26.8,34.51,39.86,46.25,66.93,84.15,,
66,RTX Corp,2000000,0.4,100,39.75,10.8,14.66,21.04,28.75,33.35,39.75,54.46,68.55,,
67,Walmart Inc,2000000,0.4,100,27.8,11.1,13.3,16.97,20.97,24.7,27.8,39.74,50.29,,
68,Weyerhaeuser Co,2000000,0.4,100,34.05,11.34,12.97,17.26,22.99,27.77,34.05,47.46,63.27,,
