Tenor,OIS Curve Mid,Final Bid Rate,Final Ask Rate
1W,3.8909249305725098,3.88725686073303,3.89459300041199
2W,3.891900062561035,3.8905599117279,3.89324021339417
3W,3.8740000724792454,3.86585712432861,3.88214302062988
1M,3.85159993171692,3.84758996963501,3.85560989379883
2M,3.82398509979248,3.82004237174988,3.82792782783508
3M,3.78346014022827,3.77941346168518,3.78750681877136
4M,3.7589499950408953,3.75493693351746,3.76296305656433
5M,3.72475004196167,3.72039294242859,3.72910714149475
6M,3.6919202804565403,3.6879506111145,3.69588994979858
7M,3.665894985198975,3.66319680213928,3.66859316825867
8M,3.62975001335144,3.62668967247009,3.63281035423279
9M,3.5933151245117196,3.59055233001709,3.59607791900635
10M,3.5600852966308603,3.55735397338867,3.56281661987305
11M,3.5264849662780797,3.52356052398682,3.52940940856934
12M,3.4967000484466553,3.49428129196167,3.49911880493164
18M,3.3361649513244602,3.33404493331909,3.33828496932983
2Y,3.26850154291403,3.26427338354878,3.27272970227928
3Y,3.234239078550515,3.21122893425929,3.25724922284174
4Y,3.257212749049955,3.25249739847802,3.26192809962189
5Y,3.3023148998494003,3.28003861256039,3.32459118713841
6Y,3.36103981745801,3.35721000625808,3.36486962865794
7Y,3.4265166204261552,3.40419175522113,3.44884148563118
8Y,3.48841550871107,3.48323427523811,3.49359674218403
9Y,3.549198986224255,3.53398190919583,3.56441606325268
10Y,3.60752521261599,3.60422964017164,3.61082078506034
12Y,3.717210391179705,3.6984191043165,3.73600167804291
15Y,3.84704974445448,3.82458716938943,3.86951231951953
20Y,3.9517280609602903,3.92908340646043,3.97437271546015
25Y,3.96701111394583,3.94480422201231,3.98921800587935
30Y,3.93388616334964,3.91129914969057,3.95647317700871
40Y,3.823302874569555,3.81323629466261,3.8333694544765
50Y,3.7100800575006403,3.69486075175258,3.7252993632487
