,Company,Notional Recovery Rate,Recovery rate,Running Spread,Sprd at Maturity,6 Mo,1 Yr,2 Yr,3 Yr,4 Yr,5 Yr,7 Yr,10 Yr,Unnamed: 14,Unnamed: 15,,,,,,,,
1,Advanced Micro D,2000000,0.4,500,44.9,20.91,20.4,25.93,32.97,39.21,44.9,61.38,71.39,,,,,,,,,,
2,Ally Financial Inc,2000000,0.4,500,159.97,53.52,69.09,94.61,116.55,133.94,159.97,206.53,236.54,,,,,,,,,,
3,Altria Group Inc,2000000,0.4,100,42.42,12.13,16.1,20.36,29.2,35.62,42.42,64.48,80.19,,,,,,,,,,
4,Amazon.com Inc,2000000,0.4,100,41.21,17.73,21.9,28.09,33.64,37.73,41.21,57.06,69.91,,,,,,,,,,
5,American Electri,2000000,0.4,100,34.33,10.68,13.44,18.17,24.62,30.56,34.33,50.29,65.73,,,,,,,,,,
6,American Expres,2000000,0.4,100,31.67,11.11,12.96,19.95,24.57,28.34,31.67,46.93,59.29,,,,,,,,,,
7,American Interna,2000000,0.4,100,62.35,23.61,26.91,33.99,43.33,50.3,62.35,91.69,111.63,,,,,,,,,,
8,Amgen Inc,2000000,0.4,100,37.96,12.19,13.74,20.24,27.12,33.19,37.96,54.84,74.15,,,,,,,,,,
9,APA Corp,2000000,0.4,100,107.41,38.03,43.73,57.19,71.69,90.98,107.41,139.65,165.16,,,,,,,,,,
10,Arrow Electronic,2000000,0.4,100,83.69,23.65,26.52,38.86,54.43,70.25,83.69,108.75,129.09,,,,,,,,,,
11,AT&T Inc,2000000,0.4,100,63.77,28.06,35.07,41.1,47.7,55.27,63.77,87.44,102.33,,,,,,,,,,
12,AutoZone Inc,2000000,0.4,100,37.59,10.97,17.31,22.77,26.46,31.75,37.59,52.46,69.21,,,,,,,,,,
13,Avnet Inc,2000000,0.4,100,94.02,25.82,26.78,41.91,59.99,77.4,94.02,125.78,150.64,,,,,,,,,,
14,Barrick Mining C,2000000,0.4,100,39.49,8.36,13.34,19.15,25.46,32.61,39.49,61.14,82.35,,,,,,,,,,
15,Baxter Internatio,2000000,0.4,100,85.83,20.57,28.07,40.51,51.22,68.78,85.83,113.2,129.97,,,,,,,,,,
16,Best Buy Co Inc,2000000,0.4,500,68.64,18.78,24.72,34.93,43.43,56.15,68.64,93.2,119.69,,,,,,,,,,
17,Block Financial L,2000000,0.4,500,72.72,27.54,31.61,43.27,53.17,63.93,72.72,105.05,130.48,,,,,,,,,,
