Unnamed: 0,Company,Notional,Recovery,Running,Sprd,6 Mo,1 Yr,2 Yr,3 Yr,4 Yr,5 Yr,7 Yr,10 Yr,Unnamed: 14,Unnamed: 15
1,Advanced Micro D,2000000,0.4,500,43.45,20.41,19.85,26,32.93,38.17,43.45,63.96,83.16, , 
2,Ally Financial Inc,2000000,0.4,500,147.25,48.64,62.87,86.26,106.7,129.64,147.25,196.98,227.14, , 
3,Altria Group Inc,2000000,0.4,100,41.79,12.08,15.99,20.82,28.86,35.19,41.79,61.33,75.79, , 
4,Amazon.com Inc,2000000,0.25,100,39.76,16.8,20.72,26.18,31.27,35.86,39.76,53.97,65.17, , 
5,American Electri,2000000,0.4,100,33.55,10.16,13.5,18.5,23.56,29.21,33.55,49.77,65.73, , 
6,American Expres,2000000,0.4,100,30.3,12.34,14.35,18.43,23.48,27.5,30.3,46.4,59.38, , 
7,American Interna,2000000,0.4,100,60.31,21.84,24.85,32.32,42.99,51.21,60.31,86.06,104.04, , 
8,Amgen Inc,2000000,0.4,100,34.47,11.87,13.21,19.57,26.06,31.92,34.47,52.85,70.97, , 
9,APA Corp,2000000,0.4,100,107.24,36.28,41.53,55.14,73.03,93.72,107.24,135.84,159.42, , 
10,Arrow Electronic,2000000,0.4,100,78.31,23.89,26.49,36.84,51.22,67.88,78.31,103.58,122.95, , 
11,AT&T Inc,2000000,0.4,100,63.27,28.17,34.33,41.94,47.69,54.67,63.27,85.36,100.29, , 
12,AutoZone Inc,2000000,0.4,100,35.02,10.23,16,20.54,24.5,29.28,35.02,50,66.76, , 
13,Avnet Inc,2000000,0.4,100,86.99,24.38,26.7,39.41,56.43,74.59,86.99,117.53,141.28, , 
14,Barrick Mining C,2000000,0.4,100,36.19,7.78,13.23,17.94,23.47,31.29,36.19,56.95,75.94, , 
15,Baxter Internatio,2000000,0.4,100,85.47,20.6,27.89,40.66,51.4,68.93,85.47,113.06,129.69, , 
16,Best Buy Co Inc,2000000,0.4,500,63.81,17.44,23.75,33.51,40.13,52.81,63.81,86.57,110.4, , 
17,Block Financial L,2000000,0.4,500,70.29,25.46,29.15,38.28,51.1,61.33,70.29,106.63,134.59, , 
18,BorgWarner Inc,2000000,0.4,100,55.64,18.51,22.69,30.62,39.3,47.9,55.64,78.76,98.06, , 
19,Boston Scientific,2000000,0.4,100,31.07,10.1,12.27,16.21,19.52,26.65,31.07,47.49,60.39, , 
20,Bristol-Myers Sq,2000000,0.4,100,36.08,13.25,15.1,19.48,24.93,30.03,36.08,52.59,68.21, , 
21,Broadcom Inc,2000000,0.4,100,38.51,15.21,16.52,20.77,27.1,33.62,38.51,57.33,70.61, , 
22,Canadian Natura,2000000,0.4,100,65.52,21.68,26.31,35.06,47.03,56.17,65.52,97.51,128.36, , 
23,Capital One Finan,2000000,0.4,100,77.79,28.68,35.21,45.22,56.16,67.76,77.79,103.85,128.05, , 
24,Cardinal Health I,2000000,0.4,100,33.64,9.63,11.98,16.54,22.8,28.18,33.64,52.45,68.17, , 
25,Caterpillar Inc,2000000,0.4,100,27.66,8.43,12.24,15.03,20.29,24.81,27.66,44.9,60.87, , 
26,Cisco Systems In,2000000,0.4,100,33.68,11.09,12.57,17.15,22.94,29.25,33.68,43.63,55.27, , 
27,Comcast Corp,2000000,0.4,100,58.36,17.62,24.72,30.47,41.44,50.59,58.36,73.81,92.51, , 
28,Conagra Brands ,2000000,0.4,100,83.48,25.19,26.78,36.58,51.91,67.04,83.48,111.64,132.08, , 
29,ConocoPhillips,2000000,0.4,100,42.77,13.01,13.73,19.17,26.55,35.1,42.77,63.31,77.76, , 
30,Cox Communicat,2000000,0.4,100,62.6,16.45,20.55,28.23,39.71,51.8,62.6,78.55,97.98, , 
31,CSX Corp,2000000,0.4,100,21.44,7.94,9.8,12.06,15.74,18.55,21.44,35.21,49.18, , 
32,CVS Health Corp,2000000,0.4,100,53.1,16.73,18.03,27.46,36.82,42.69,53.1,76.46,96.53, , 
33,DR Horton Inc,2000000,0.4,100,53.96,21.9,26.05,33.47,41.87,50.69,53.96,77.97,95.3, , 
34,Danaher Corp,2000000,0.4,100,28.81,6.04,10.73,14.07,19.39,23.98,28.81,47.61,63.65, , 
35,Darden Restaura,2000000,0.4,100,49.95,16.18,23.08,29.12,35.14,42.5,49.95,74.9,92.04, , 
36,Deere & Co,2000000,0.4,100,34.28,12.52,14.38,19.25,24.18,30.77,34.28,50.8,69.35, , 
37,Dell Inc,2000000,0.4,100,72.44,15.05,19.63,29.7,43.31,59.02,72.44,103.5,124.69, , 
38,Delta Air Lines I,2000000,0.4,500,106.75,38.19,45.27,55.74,73.62,91.59,106.75,146.2,169.63, , 
39,Devon Energy Co,2000000,0.4,100,93.64,31.21,33.59,47.99,63.82,79.56,93.64,129.62,153.3, , 
40,Dominion Energy,2000000,0.4,100,41.21,9.71,15.18,22.81,28.36,34.64,41.21,60.11,73.71, , 
41,DXC Technology ,2000000,0.4,500,161.78,34.57,37.79,65.8,85.34,120.76,161.78,206.91,231.68, , 
42,Eastman Chemica,2000000,0.4,100,95.34,24.88,30.17,43.84,62.43,79.59,95.34,124.96,144.86,,
43,Enbridge Inc,2000000,0.4,100,61.01,22.88,27.24,37.71,44.32,52.35,61.01,89.34,110.62,,
44,Energy Transfer ,2000000,0.4,100,60.88,21.65,23.76,35.71,43.9,53.1,60.88,90.34,117.52, ,
45,Exelon Corp,2000000,0.4,100,34.07,11.79,13.44,17.79,23.79,28.44,34.07,49.92,66.59, ,
46,Expedia Group In,2000000,0.4,100,60.8,12.7,17.87,26.84,37.19,48.85,60.8,92.94,106.26, ,
47,FedEx Corp,2000000,0.4,100,54.12,18.61,21.84,28.81,38.88,46.7,54.12,75.53,93.55, ,
48,FirstEnergy Corp,2000000,0.4,100,47.1,14.15,18.39,27.57,35.08,40.8,47.1,71.71,89.02, ,
