Date,S42 USD OIS Mid,Bid,Unnamed: 3,Final Bid Rate,Final Ask Rate
1W,3.893650055,,,3.89248991,3.8948102000000002
2W,3.7770500179999997,,,3.763127565,3.790972471
3W,3.7319998745,,,3.722049475,3.741950274
1M,3.715600014,,,3.710792065,3.720407963
2M,3.687385082,,,3.683247566,3.691522598
3M,3.6628603935,,,3.65934515,3.666375637
4M,3.6391999725,,,3.636023045,3.6423769
5M,3.6208000184999998,,,3.61598444,3.625615597
6M,3.599999905,,,3.596752644,3.603247166
7M,3.57446003,,,3.571923018,3.576997042
8M,3.5482001305,,,3.545018911,3.55138135
9M,3.519350052,,,3.515856266,3.522843838
10M,3.4923000335000003,,,3.4891572,3.495442867
11M,3.467000008,,,3.463628531,3.470371485
12M,3.441950083,,,3.439868927,3.444031239
18M,3.3057999615,,,3.302770615,3.308829308
2Y,3.252131997,,,3.247185213,3.257078781
3Y,3.229681832,,,3.206958505,3.252405159
4Y,3.2587999585,,,3.253959886,3.263640031
5Y,3.307756406,,,3.286405756,3.329107056
6Y,3.3684684715,,,3.359177986,3.377758957
7Y,3.433690775,,,3.424275483,3.443106067
8Y,3.49769052,,,3.4905296,3.50485144
9Y,3.561100454,,,3.556167749,3.566033159
10Y,3.622819343,,,3.619149279,3.626489407
12Y,3.7364896345,,,3.732117093,3.740862176
15Y,3.8694002640000003,,,3.861130347,3.877670181
20Y,3.982188997,,,3.974295961,3.990082033
25Y,3.997272195,,,3.989081334,4.005463056
30Y,3.9706852695,,,3.948073147,3.993297392
40Y,3.8676825965,,,3.853625574,3.881739619
50Y,3.7540051525,,,3.741231161,3.766779144
