,Company,Notional Recovery Rate,Recovery rate,Running Spread,Sprd at Maturity,6 Mo,1 Yr,2 Yr,3 Yr,4 Yr,5 Yr,7 Yr,10 Yr, ,,,,,,
1,Advanced Micro D,2000000,0.4,500,42.62,21.63,20.93,25.77,32.69,38.68,42.62,63.67,83.26, ,,,,,,
2,Ally Financial Inc,2000000,0.4,500,145.84,48.21,62.23,84.38,107.08,127.17,145.84,190.92,218.73, ,,,,,,
3,Altria Group Inc,2000000,0.4,100,41.09,12.16,16.08,21.19,28.43,34.74,41.09,60.36,74.68, ,,,,,,
4,Amazon.com Inc,2000000,0.25,100,39.7,16.77,20.68,26.33,31.34,35.65,39.7,53.44,64.36, ,,,,,,
5,American Electri,2000000,0.4,100,32.44,8.91,12.66,16.49,22.15,28.21,32.44,48.02,63.53, ,,,,,,
6,American Expres,2000000,0.4,100,30.21,13.07,15.17,19.21,24.42,28.45,30.21,46.55,59.66, ,,,,,,
7,American Interna,2000000,0.4,100,59.37,21.79,24.77,32.46,42.48,50.83,59.37,85.86,104.19, , , ,,,,
8,Amgen Inc,2000000,0.4,100,34.48,11.93,13.15,19.8,25.81,30.98,34.48,52.23,70.68, , , ,,,,
9,APA Corp,2000000,0.4,100,105.57,35.53,40.65,52.52,70.17,90.2,105.57,136.36,161.18, , , ,,,,
10,Arrow Electronic,2000000,0.4,100,75.78,23.26,24.67,35.94,50.07,65.87,75.78,103.77,123.86, , , ,,,,
11,AT&T Inc,2000000,0.4,100,62.63,28.08,33.91,40.61,47.24,54.2,62.63,84.76,99.88, , , ,,,,
12,AutoZone Inc,2000000,0.4,100,35.25,10.57,16.2,21.22,25.49,29.99,35.25,50.01,66.55, , , ,,,,
13,Avnet Inc,2000000,0.4,100,85.44,24.43,25.88,39.62,56.46,73.29,85.44,118.98,143.48, , , ,,,,
14,Barrick Mining C,2000000,0.4,100,36.12,8.07,13.01,17.64,23.04,30.17,36.12,57.58,78.92, , , ,,,,
15,Baxter Internatio,2000000,0.4,100,85.11,20.71,28.87,40.72,51.05,68.47,85.11,111.61,128.09, , , ,,,,
16,Best Buy Co Inc,2000000,0.4,500,63.92,18.82,23.29,33.31,40.65,52.85,63.92,88.53,113.49, , , ,,,,
17,Block Financial L,2000000,0.4,500,68.6,26.8,30.59,39.41,52.26,62.58,68.6,103.1,129.99, , , ,,,,
18,BorgWarner Inc,2000000,0.4,100,55.61,17.39,21.3,30.23,38.12,47.15,55.61,80.69,100.85, , , ,,,,
