Tenor,OIS Curve Mid,,,Final Bid Rate,Final Ask Rate
1W,3.855999947,,,3.848224401,3.863775492
2W,3.759449959,,,3.739141226,3.779758692
3W,3.722000122,,,3.712998152,3.731002092
1M,3.707870007,,,3.701986313,3.7137537
2M,3.681250095,,,3.676416636,3.686083555
3M,3.65805006,,,3.654987097,3.661113024
4M,3.633699894,,,3.62958312,3.637816668
5M,3.612450123,,,3.606941462,3.617958784
6M,3.590250015,,,3.584200859,3.596299171
7M,3.563420296,,,3.559427977,3.567412615
8M,3.535459995,,,3.530402184,3.540517807
9M,3.50372982,,,3.498753548,3.508706093
10M,3.478835106,,,3.473839521,3.48383069
11M,3.452199936,,,3.447677135,3.456722736
12M,3.425700188,,,3.421066523,3.430333853
18M,3.289799929,,,3.286139488,3.293460369
2Y,3.238451259,,,3.229062115,3.247840402
3Y,3.216171688,,,3.192239425,3.240103951
4Y,3.244067228,,,3.236057084,3.252077371
5Y,3.292113632,,,3.28925694,3.294970325
6Y,3.353460807,,,3.343547351,3.363374263
7Y,3.418646997,,,3.405340309,3.431953685
8Y,3.484521737,,,3.474299363,3.494744111
9Y,3.54852684,,,3.541073146,3.555980534
10Y,3.610702224,,,3.607959107,3.61344534
12Y,3.726703093,,,3.709774362,3.743631824
15Y,3.861265359,,,3.839854241,3.882676477
20Y,3.975260673,,,3.958889949,3.991631398
25Y,3.993274795,,,3.974143088,4.012406502
30Y,3.968185679,,,3.946087566,3.990283791
40Y,3.865733428,,,3.851696201,3.879770656
50Y,3.751356261,,,3.739139542,3.763572981
