Company,Recovery,S_1Y,S_2Y,S_3Y,S_5Y,S_7Y,S_10Y
Advanced Micro D,0.4,0.9976981688916662,0.9934516547566684,0.9866942387720051,0.9662764733062038,0.9283212535010814,0.8747664936212463
Honeywell Intern,0.4,0.9985807643447517,0.9960810409097262,0.9922445271959095,0.9800795734821486,0.9585396298018706,0.9186077799527175
Barrick Mining C,0.4,0.9985127044841096,0.9953497201801074,0.9899844801825269,0.9700264039882223,0.9392734855985995,0.8807889361119551
American Electri,0.4,0.9985044419168061,0.9954064871908691,0.9903546931962037,0.9746821490237418,0.9482607135726517,0.898831696047263
American Expres,0.4,0.9982109976903105,0.995153391971174,0.9903614251479712,0.9754926637668198,0.9513708240316707,0.9097639427343404
American Interna,0.4,0.9969048144992863,0.9910756798018382,0.9814986636378067,0.9529810638344541,0.9066484543886077,0.8362920347380459
Arrow Electronic,0.4,0.9970283170911294,0.9901964968233818,0.9779190151511337,0.9363903665009871,0.8882049394906617,0.8087291471666481
AutoZone Inc,0.4,0.9979235633027379,0.9941369922072799,0.9890942334643632,0.9715472330264723,0.9450399532377602,0.8921499142421357
Avnet Inc,0.4,0.9968934737349614,0.989205461108904,0.9751385203817894,0.9288695934100694,0.8710268800289802,0.7788516388392134
Baxter Internatio,0.4,0.9968902928856873,0.9900230787249601,0.97891895528271,0.934575695907154,0.8848480379700412,0.8099525903869491
Verizon Commun,0.4,0.9962872796564908,0.9902701204546881,0.980819730543008,0.9541966168268063,0.9157081786814317,0.8427459107690163
Best Buy Co Inc,0.4,0.9971649469393058,0.9909432973399543,0.9821555476848082,0.9482754035422172,0.9038090149924553,0.8221283569880438
Boeing Co/The,0.4,0.9961235644673466,0.9893364516003574,0.9789461141789078,0.947782434210024,0.9093464406755959,0.8457150890982276
Boston Scientific,0.4,0.9984945171006777,0.9953583247067542,0.991259939752156,0.974827698766714,0.9464423243913952,0.8998975965010184
Bristol-Myers Sq,0.4,0.9982478600060697,0.9947520417464515,0.989710168471252,0.9716825789784942,0.9443643807080735,0.8943520674620923
Campbell's Comp,0.4,0.9974655787084885,0.992853520359226,0.9843942872695648,0.9555585248003847,0.9140958634178816,0.8474454146535202
Caterpillar Inc,0.4,0.9985940952120177,0.9961303275768707,0.9911481222711239,0.9779833450258196,0.9530625151217862,0.9064347390514945
Conagra Brands ,0.4,0.9968012480853272,0.9904647497615723,0.9787039722066361,0.9347873816364088,0.8836691249736576,0.8029971249309178
CSX Corp,0.4,0.9985906093735577,0.9964384307992438,0.9923591228693622,0.9821632488542165,0.9608407584293132,0.9214034577993676
Danaher Corp,0.4,0.9986883937371525,0.9961791820894864,0.9914498030178858,0.9766885964213953,0.9461670136289678,0.8940473072179075
Target Corp,0.4,0.9976370814647708,0.9923894350307348,0.9845903046300345,0.960290694576061,0.929497232273575,0.8759205222045755
Deere & Co,0.4,0.9983468382523617,0.9950787929995883,0.9899515249134376,0.9733371236607442,0.9455537148377166,0.8897478244459404
Dominion Energy,0.4,0.9981388284328386,0.994038154966065,0.988048350765358,0.9688147337737111,0.936722379170357,0.8856789690571036
Dow Chemical Co,0.4,0.9964657351005081,0.9882238402246106,0.9735261165173834,0.9224012529112511,0.8602775446300391,0.7653752324386314
FedEx Corp,0.4,0.9973047541820469,0.9922249018089183,0.9830693732127991,0.9570750320968233,0.9166106565677631,0.8487397854791199
Ford Motor Co,0.4,0.9904765808257797,0.9733807750082543,0.948682621351951,0.8765572048163515,0.7933966771804418,0.672164105383394
Freeport-McMoRa,0.4,0.9975079546834755,0.9911411045336569,0.978889525988187,0.9392682725386031,0.8850324766306765,0.7981690645612703
