Tenor,Detachment,Correlation
5.0,0.005,0.1545616328371994
5.0,0.01,0.17816175790958788
5.0,0.015,0.2014767148259748
5.0,0.02,0.22433829840004074
5.0,0.025,0.24657830344546633
5.0,0.03,0.2680285247759322
5.0,0.035,0.288520757205119
5.0,0.04,0.3078867955467072
5.0,0.045,0.3259584346143777
5.0,0.05,0.34256746922181086
5.0,0.055,0.35754569418268745
5.0,0.06,0.370724904310688
5.0,0.065,0.3819368944194932
5.0,0.07,0.3910134593227837
5.0,0.075,0.3980763095461842
5.0,0.08,0.4037478500795108
5.0,0.085,0.40861091743273115
5.0,0.09,0.41324834811581257
5.0,0.095,0.4182429786387229
5.0,0.1,0.4241776455114296
5.0,0.105,0.4309786622287354
5.0,0.11,0.43818115437888294
5.0,0.115,0.445781176612
5.0,0.12,0.45377478357821405
5.0,0.125,0.4621580299276525
5.0,0.13,0.470926970310443
5.0,0.135,0.48007765937671315
5.0,0.14,0.48960615177659045
5.0,0.145,0.4995085021602024
5.0,0.15,0.5097807651776766
7.0,0.005,0.14724528227097625
7.0,0.01,0.17514421672101213
7.0,0.015,0.2022876917386279
7.0,0.02,0.22862787793725747
7.0,0.025,0.25411694593033457
7.0,0.03,0.278707066331293
7.0,0.035,0.30235040975356664
7.0,0.04,0.32499914681058933
7.0,0.045,0.34660544811579475
7.0,0.05,0.36712148428261693
7.0,0.055,0.3864994259244895
7.0,0.06,0.4046914436548463
7.0,0.065,0.42164970808712127
7.0,0.07,0.4373263898347481
7.0,0.075,0.4518298079356273
7.0,0.08,0.4653516862384633
7.0,0.085,0.47796930257289555
7.0,0.09,0.4897599347685635
7.0,0.095,0.5008008606551068
7.0,0.1,0.5111693580621648
7.0,0.105,0.5211149741950598
7.0,0.11,0.530806306658141
7.0,0.115,0.5401992088795886
7.0,0.12,0.5492495342875829
7.0,0.125,0.557913136310304
7.0,0.13,0.5661458683759322
7.0,0.135,0.5739035839126477
7.0,0.14,0.5811421363486308
7.0,0.145,0.5878173791120613
7.0,0.15,0.59388516563112
10.0,0.005,0.06677343427185248
10.0,0.01,0.11039811087696416
10.0,0.015,0.15321096643145277
10.0,0.02,0.19497989924855078
10.0,0.025,0.2354728076414906
10.0,0.03,0.2744575899235046
10.0,0.035,0.3117021444078254
10.0,0.04,0.3469743694076853
10.0,0.045,0.3800421632363166
10.0,0.05,0.41067342420695213
10.0,0.055,0.43863605063282396
10.0,0.06,0.46369794082716476
10.0,0.065,0.4856269931032069
10.0,0.07,0.5041911057741828
10.0,0.075,0.5198356903645255
10.0,0.08,0.533475079620962
10.0,0.085,0.5455805536901651
10.0,0.09,0.5566233927188081
10.0,0.095,0.5670748768535638
10.0,0.1,0.5774062862411056
10.0,0.105,0.5877300283106826
10.0,0.11,0.5978229083117282
10.0,0.115,0.6076528031211909
10.0,0.12,0.6171875896160188
10.0,0.125,0.6263951446731609
10.0,0.13,0.6352433451695655
10.0,0.135,0.6437000679821812
10.0,0.14,0.6517331899879562
10.0,0.145,0.6593105880638395
10.0,0.15,0.6664001390867792
